wavelength_nm,real,imag,abs_real,magnitude,real_normalized,imag_normalized
4.500000000000000000e+02,6.325245879176848440e-01,3.939856804206247863e-03,6.325245879176848440e-01,6.325368580502440663e-01,8.869995183631528696e-03,5.524925282755201796e-05
4.510000000000000000e+02,6.384036070384925265e-01,3.998158963288056013e-03,6.384036070384925265e-01,6.384161266406525037e-01,8.952437625051413994e-03,5.606683348786028814e-05
4.520000000000000000e+02,6.443409791564439493e-01,4.057380839611026725e-03,6.443409791564439493e-01,6.443537535853753884e-01,9.035698360042022231e-03,5.689731149264376584e-05
4.530000000000000000e+02,6.503374187606630885e-01,4.117538927667852705e-03,6.503374187606630885e-01,6.503504534995750985e-01,9.119787408000554207e-03,5.774091814685650289e-05
4.540000000000000000e+02,6.563936515805085525e-01,4.178650068879696117e-03,6.563936515805085525e-01,6.564069522419702096e-01,9.204714945947855761e-03,5.859788962048689760e-05
4.550000000000000000e+02,6.625104148058358344e-01,4.240731460150493418e-03,6.625104148058358344e-01,6.625239871351963350e-01,9.290491311617183126e-03,5.946846706851612713e-05
4.560000000000000000e+02,6.686884573124640685e-01,4.303800662665547422e-03,6.686884573124640685e-01,6.687023071913742456e-01,9.377127006615958507e-03,6.035289675430221136e-05
4.570000000000000000e+02,6.749285398929929514e-01,4.367875610942218052e-03,6.749285398929929514e-01,6.749426733430328174e-01,9.464632699662562862e-03,6.125143017649933483e-05
4.580000000000000000e+02,6.812314354931190419e-01,4.432974622141070548e-03,6.812314354931190419e-01,6.812458586795344662e-01,9.553019229900223258e-03,6.216432419962962226e-05
4.590000000000000000e+02,6.875979294536069819e-01,4.499116405646008156e-03,6.875979294536069819e-01,6.876126486891577239e-01,9.642297610290230872e-03,6.309184118842681263e-05
4.600000000000000000e+02,6.940288197580681828e-01,4.566320072922221661e-03,6.940288197580681828e-01,6.940438415069941636e-01,9.732479031086566090e-03,6.403424914607597999e-05
4.610000000000000000e+02,7.005249172867236140e-01,4.634605147661267736e-03,7.005249172867236140e-01,7.005402481688298710e-01,9.823574863394468615e-03,6.499182185647958806e-05
4.620000000000000000e+02,7.070870460763054588e-01,4.703991576222673991e-03,7.070870460763054588e-01,7.071026928711731108e-01,9.915596662815070669e-03,6.596483903068177195e-05
4.630000000000000000e+02,7.137160435862828223e-01,4.774499738382131236e-03,7.137160435862828223e-01,7.137320132376077098e-01,1.000855617317873182e-02,6.695358645759205056e-05
4.640000000000000000e+02,7.204127609715890168e-01,4.846150458396474014e-03,7.204127609715890168e-01,7.204290605916541246e-01,1.010246533036953179e-02,6.795835615915131358e-05
4.650000000000000000e+02,7.271780633620364975e-01,4.918965016396087582e-03,7.271780633620364975e-01,7.271947002363221557e-01,1.019733626624355280e-02,6.897944655008941817e-05
