case_id,band,state,energy_eV,centroid_nm,left_well_probability,central_barrier_probability,right_well_probability,outside_active_probability,localization_left_minus_right,node_count,character,normalization_check
Case_10,heavy_hole,1,1.530581632041,63.724193779964125,0.9946309650611829,0.003001246580278528,9.704532979264094e-05,0.002270743028745961,0.9945339197313903,0,left_localized,0.9999999999999998
Case_10,heavy_hole,2,1.502326627868,70.29908582647502,0.013522778869590853,0.024627190974224084,0.934759532209377,0.027090497946808068,-0.9212367533397862,2,right_localized,0.9999999999999999
Case_10,heavy_hole,3,1.497250135818,63.603640221147046,0.9652658319344798,0.009714937587177308,0.013766918163651087,0.011252312314691816,0.9514989137708287,2,left_localized,1.0000000000000002
Case_10,heavy_hole,4,1.443113165543,63.54074331252187,0.9449819955977629,0.0261269401338046,0.0010537159985946477,0.027837348269837893,0.9439282795991683,4,left_localized,1.0
Case_10,heavy_hole,5,1.37394382405,67.14543513406502,0.4115568765528104,0.11396195721903138,0.38256862435450917,0.09191254187364911,0.028988252198301256,6,delocalized_bonding_or_antibonding,1.0000000000000002
Case_10,heavy_hole,6,1.365864564026,66.75917823336127,0.4815220545002341,0.0485680374059895,0.36951534769569133,0.10039456039808509,0.11200670680454278,6,delocalized_bonding_or_antibonding,1.0
Case_11,electron,1,3.008483623351,63.59015113135067,0.9555962117002393,0.01942597782891612,0.0050705006623472226,0.019907309808497316,0.9505257110378921,0,left_localized,0.9999999999999999
Case_11,electron,2,3.118053419224,69.64455649781766,0.08389059621214913,0.096852874366834,0.7313586784662941,0.0878978509547228,-0.647468082254145,2,right_localized,0.9999999999999998
Case_11,electron,3,3.18261351722,64.16587158665364,0.7827023875787587,0.037839220154746604,0.08669626656661353,0.09276212569988121,0.6960061210121451,4,left_localized,1.0
Case_11,electron,4,3.362588708167,28.709601837461435,5.032342623161077e-07,9.066052482205354e-08,2.3182004839155346e-08,0.999999382923208,4.800522574769524e-07,4,delocalized_bonding_or_antibonding,0.9999999999999999
Case_11,electron,5,3.37578411513,36.45692029753761,0.00018596010725188678,3.5949548075655624e-05,9.321079946146541e-06,0.9997687692647264,0.00017663902730574024,6,delocalized_bonding_or_antibonding,0.9999999999999999
Case_11,electron,6,3.386949201183,41.74464526902154,0.005818370078742823,0.0011986057535673211,0.0003204609299039228,0.9926625632377859,0.0054979091488389,6,delocalized_bonding_or_antibonding,1.0
Case_11,heavy_hole,1,1.520227363098,63.724902171876636,0.9943339416305259,0.0031871327013932513,0.00015870544407774133,0.002320220224003099,0.9941752361864482,2,left_localized,0.9999999999999998
Case_11,heavy_hole,2,1.494054692932,70.30325951624982,0.010253401310903987,0.022221523369438376,0.9432751964011347,0.024249878918522927,-0.9330217950902306,2,right_localized,1.0
Case_11,heavy_hole,3,1.487225221115,63.603298465679195,0.9678838403806856,0.010416402459633916,0.010524595476885574,0.011175161682794865,0.9573592449038001,2,left_localized,0.9999999999999999
Case_11,heavy_hole,4,1.433575767979,63.56776585391252,0.9427435501146726,0.02788223114836529,0.001650763170336801,0.02772345556662532,0.9410927869443357,4,left_localized,1.0
Case_11,heavy_hole,5,1.371203962604,69.36791840423996,0.12515865384451827,0.11259192816201635,0.6580253264015229,0.10422409159194246,-0.5328666725570046,6,right_localized,0.9999999999999999
Case_11,heavy_hole,6,1.358924652882,64.52918640704476,0.7672187978265192,0.03759717286172822,0.12346903578551952,0.071714993526233,0.6437497620409998,6,left_localized,1.0000000000000002
Case_12,electron,1,2.97503113968,63.60725017774648,0.9572202786804781,0.018764717703559298,0.004560345322306298,0.019454658293656307,0.9526599333581718,0,left_localized,1.0000000000000002
Case_12,electron,2,3.087661173287,69.59707190119643,0.08980907003998831,0.10223053561069409,0.7145012104909773,0.0934591838583404,-0.624692140450989,2,right_localized,0.9999999999999999
Case_12,electron,3,3.149222698383,64.20898979934681,0.779941090461346,0.035490038347501265,0.09144229034916676,0.09312658084198602,0.6884988001121792,4,left_localized,1.0
Case_12,electron,4,3.346916761111,31.141111201289295,3.0656205631789814e-05,5.778184735159088e-06,1.3493388680844434e-06,0.999962216270765,2.930686676370537e-05,4,delocalized_bonding_or_antibonding,1.0
