k_per_nm,e1_raw_eV,e2_raw_eV,h1_raw_eV,h2_raw_eV
0.11670003223872,2.9600370207042999,3.09751692449725,1.4407960771107999,1.4186797818824499
0.11855241370283,2.9602768107923501,3.0977200637482003,1.4407065267733001,1.4187184730029498
0.12040479516693001,2.9605203147612,3.0979263649363,1.4406159391870501,1.41875666084105
0.12225717663103999,2.9607675297395502,3.0981358263339001,1.44052433297775,1.4187943148053499
0.12410955809514999,2.9610184528156998,3.0983484461883997,1.4404317271388001,1.4188314045865
0.12596193955925,2.9612730810376497,3.0985642227220502,1.4403381410326999,1.4188679001478
0.12781432102335999,2.9615314114135001,3.0987831541322501,1.4402435943932499,1.4189037717142501
0.12966670248747,2.9617934409115003,3.0990052385917499,1.4401481073269,1.4189389897624001
0.13151908395157,2.96205916646025,3.0992304742482997,1.4400517003136499,1.4189735250100499
0.13337146541568001,2.9623285849486498,3.0994588592251997,1.4399543942084501,1.4190073484055001
0.13522384687979,2.9626016932267998,3.0996903916212002,1.43985621024155,1.41904043111805
0.13707622834388999,2.9628784881052503,3.0999250695103502,1.4397571700187,1.4190727445270999
0.13892860980800001,2.9631589663557998,3.1001628909424999,1.4396572955214,1.4191042602135
0.14078099127211,2.96344312471185,3.10040385394315,1.43955660910615,1.4191349499493
0.14263337273620999,2.9637309598678998,3.1006479565134502,1.4394551335037,1.4191647856890499
0.14448575420032,2.9640224684804997,3.10089519663055,1.4393528918176002,1.4191937395615501
0.14633813566442999,2.9643176471679498,3.1011455722474999,1.43924990752225,1.4192217838613002
0.14819051712853001,2.9646164925107001,3.1013990812934003,1.4391462044607,1.4192488910413501
0.15004289859264,2.9649190010517001,3.1016557216734499,1.4390418068414998,1.4192750337062501
0.15189528005674999,2.9652251692961498,3.1019154912690499,1.4389367392352002,1.4193001846059499
0.15374766152085001,2.9655349937122502,3.1021783879378999,1.4388310265700501,1.4193243166301999
0.15560004298496,2.9658484707310997,3.1024444095142503,1.43872469412695,1.4193474028040001
0.15745242444907001,2.9661655967469498,3.1027135538086501,1.4386177675341001,1.4193694162835
0.15930480591317001,2.9664863681177001,3.1029858186084001,1.4385102727602499,1.41939033035295
0.16115718737727999,2.9668107811643498,3.1032612016773999,1.4384022361076001,1.4194101184228001
0.16300956884139001,2.96713883217235,3.1035397007564001,1.43829368420365,1.41942875402845
0.16486195030549,2.9674705173908,3.1038213135628503,1.4381846439922499,1.41944621082985
0.16671433176959999,2.9678058330332497,3.1041060377915501,1.4380751427235501,1.4194624626127501
0.16856671323371,2.9681447752777501,3.1043938711139001,1.4379652079433001,1.41947748329045
0.17041909469781,2.9684873402670497,3.1046848111788998,1.43785486748085,1.41949124690705
0.17227147616192001,2.9688335241089501,3.1049788556125497,1.43774414943615,1.4195037276414499
0.17412385762603,2.9691833228764999,3.1052760020184502,1.4376330821660499,1.4195148998134
0.17597623909012999,2.9695367326077999,3.1055762479775,1.43752169426885,1.4195247378893501
0.17782862055424001,2.9698937493072002,3.1058795910482999,1.4374100145684001,1.4195332164912
0.17968100201834999,2.9702543689444498,3.1061860287670502,1.4372980720964499,1.4195403104048001
0.18153338348244999,2.9706185874557001,3.1064955586477998,1.43718589607465,1.4195459945909001
0.18338576494656,2.97098640074325,3.1068081781824999,1.43707351589435,1.4195502441966501
0.18523814641066999,2.9713578046763498,3.1071238848411,1.4369609610961498,1.4195530345687999
0.18709052787477001,2.9717327950907997,3.1074426760716998,1.4368482613476501,1.4195543412679501
0.18894290933888,2.9721113677895001,3.10776454930045,1.4367354464207001,1.41955414008415
0.19079529080298999,2.9724935185427999,3.1080895019321,1.4366225461663999,1.4195524070541001
0.19264767226709001,2.9728792430885997,3.1084175313496498,1.4365095904901499,1.4195491184789
0.1945000537312,2.9732685371325003,3.1087486349146998,1.43639660932505,1.41954425094365
0.19635243519531001,2.9736613963481497,3.10908280996735,1.4362836326038999,1.4195377813381
0.19820481665941,2.97405781637775,3.1094200538267502,1.4361706902307501,1.4195296868781502
0.20005719812351999,2.9744577928317497,3.1097603637907998,1.4360578120512,1.4195199451290499
0.20190957958763001,2.9748613212895503,3.1101037371362001,1.4359450278214001,1.41950853402885
0.20376196105173,2.9752683972996001,3.1104501711191501,1.4358323671769502,1.41949543191355
0.20561434251583999,2.9756790163795497,3.1107996629747001,1.4357198596002001,1.4194806175427499
0.20746672397995,2.9760931740165999,3.1111522099174,1.4356075343869501,1.41946407012655
0.20931910544405,2.9765108656678501,3.11150780914125,1.4354954206132,1.4194457693523499
0.21117148690816001,2.9769320867604003,3.1118664578197999,1.4353835470999501,1.4194256954136999
0.21302386837227,2.9773568326916999,3.11222815310615,1.4352719423789,1.41940382903825
0.21487624983636999,2.9777850988296501,3.1125928921333497,1.43516063465675,1.4193801515173998
0.21672863130048001,2.9782168805129001,3.1129606720142498,1.43504965177965,1.4193546447354999
0.21858101276458999,2.9786521730515001,3.1133314898418503,1.4349390211971,1.4193272911999499
