model,gamma_meV,crossing_nm,direction,nearest_paper_node_nm,distance_from_nearest_paper_node_nm
hybrid,1e-06,523.3182141342348,negative_to_positive,605.0,-81.68178586576516
hybrid,1e-06,527.036811947811,positive_to_negative,605.0,-77.96318805218903
hybrid,1e-06,529.990715741972,negative_to_positive,605.0,-75.00928425802795
hybrid,1e-06,535.9617466547115,positive_to_negative,605.0,-69.03825334528847
hybrid,1e-06,538.073579762314,negative_to_positive,605.0,-66.92642023768599
hybrid,1e-06,544.954229574817,positive_to_negative,605.0,-60.045770425183036
hybrid,1e-06,548.8475408594921,negative_to_positive,605.0,-56.15245914050786
hybrid,1e-06,557.8118561035277,positive_to_negative,605.0,-47.1881438964723
hybrid,1e-06,567.7226793471327,negative_to_positive,605.0,-37.277320652867274
hybrid,1e-06,572.1509347093605,positive_to_negative,605.0,-32.84906529063949
hybrid,1e-06,573.9320826581533,negative_to_positive,605.0,-31.067917341846737
hybrid,1e-06,604.1630017531239,positive_to_negative,605.0,-0.8369982468760782
hybrid,1e-06,605.922366266579,negative_to_positive,605.0,0.9223662665790471
hybrid,1e-06,609.7606207108605,positive_to_negative,605.0,4.760620710860508
hybrid,1e-06,610.7108926423459,negative_to_positive,605.0,5.710892642345925
hybrid,1e-06,613.6584710932674,positive_to_negative,605.0,8.658471093267394
hybrid,1e-06,619.2082104930536,negative_to_positive,605.0,14.20821049305357
hybrid,1e-06,620.7667145330915,positive_to_negative,605.0,15.766714533091545
hybrid,1e-06,672.6512342407677,negative_to_positive,605.0,67.65123424076774
hybrid,1e-06,673.5144186205024,positive_to_negative,605.0,68.5144186205024
hybrid,1e-06,674.3201103850243,negative_to_positive,605.0,69.32011038502435
hybrid,1e-06,678.2857295229518,positive_to_negative,605.0,73.28572952295178
hybrid,1e-06,687.6146818560081,negative_to_positive,605.0,82.61468185600813
hybrid,1e-06,688.0470134116199,positive_to_negative,605.0,83.0470134116199
hybrid,1e-06,694.2683900289264,negative_to_positive,605.0,89.26839002892643
hybrid,1e-06,695.0608093837733,positive_to_negative,605.0,90.06080938377329
hybrid,1e-06,699.7921544305103,negative_to_positive,605.0,94.79215443051032
hybrid,1e-06,701.6290699839772,positive_to_negative,605.0,96.62906998397716
hybrid,1e-06,704.4252256931975,negative_to_positive,605.0,99.42522569319749
hybrid,1e-06,705.12399523087,positive_to_negative,605.0,100.12399523087004
hybrid,1e-06,708.6233430152935,negative_to_positive,605.0,103.62334301529347
hybrid,1e-06,709.1626504408093,positive_to_negative,605.0,104.16265044080933
hybrid,1e-06,711.8744528956422,negative_to_positive,605.0,106.87445289564221
hybrid,1e-06,712.0377384950904,positive_to_negative,605.0,107.03773849509037
hybrid,1e-06,714.904132560595,negative_to_positive,605.0,109.90413256059503
hybrid,1e-06,715.036823303937,positive_to_negative,605.0,110.03682330393701
hybrid,1e-06,717.3253747213953,negative_to_positive,605.0,112.32537472139529
