|kp8_i>     |kp8_j>     |<kp8_i|eps.d|kp8_j>|[e*nm]     |<kp8_i|eps.d|kp8_j>|^2[e^2*nm^2]     Re<kp8_i|eps.d|kp8_j>[e*nm]     Im<kp8_i|eps.d|kp8_j>[e*nm]
12          13          1.24479                         1.5495                                -1.24479                        -0.00182626
12          14          0.35882                         0.128752                              0.353611                        -0.0609175
13          1           3.34159e-14                     1.11662e-27                           -1.00961e-14                    3.18542e-14
13          2           3.63107e-14                     1.31846e-27                           3.52163e-14                     -8.84748e-15
13          3           0.0081555                       6.65123e-05                           0.00813295                      -0.000606149
13          4           0.0249556                       0.000622783                           -0.0249547                      -0.000209261
13          5           1.44432e-14                     2.08606e-28                           -3.73742e-15                    -1.39513e-14
13          6           5.38565e-15                     2.90053e-29                           -5.36078e-15                    5.17045e-16
13          7           0.00993368                      9.86781e-05                           -0.0097313                      0.00199494
13          8           0.0745543                       0.00555834                            -0.0745539                      -0.000232846
13          9           0.167643                        0.0281042                             0.167643                        7.78097e-05
13          10          0.0025988                       6.75378e-06                           0.00128527                      -0.00225873
13          11          0.35882                         0.128752                              0.358749                        0.00711751
13          12          1.24479                         1.5495                                -1.24479                        0.00182626
13          13          0                               0                                     0                               0
13          14          9.64054e-14                     9.294e-27                             -1.87759e-14                    -9.45593e-14
14          1           4.07328e-14                     1.65916e-27                           -2.13731e-14                    -3.4675e-14
14          2           4.23883e-14                     1.79677e-27                           -3.11192e-14                    -2.87813e-14
14          3           0.0249556                       0.000622783                           -0.0146279                      -0.020219
14          4           0.0081555                       6.65123e-05                           -0.00421769                     -0.00698021
14          5           4.00885e-14                     1.60709e-27                           -1.83159e-14                    3.56598e-14
14          6           1.16989e-14                     1.36863e-28                           2.39438e-15                     1.14512e-14
14          7           0.0745543                       0.00555834                            -0.0336184                      0.0665443
14          8           0.00993368                      9.86781e-05                           0.00619299                      -0.00776692
14          9           0.0025988                       6.75378e-06                           0.000131823                     0.00259546
14          10          0.167643                        0.0281042                             -0.149759                       -0.0753432
14          11          1.24479                         1.5495                                1.22194                         0.237415
14          12          0.35882                         0.128752                              0.353611                        0.0609175
14          13          9.64053e-14                     9.29398e-27                           -1.87759e-14                    9.45592e-14
14          14          0                               0                                     0                               0
