wavelength_nm,simulated_abs_chi2_pm_per_V
916.36,1163.2
916.75,1163.2
917.13,1163.2
917.52,1163.2
917.91,1168.4
918.30,1168.4
918.69,1168.4
919.08,1168.4
919.47,1168.4
919.85,1173.6
920.24,1173.6
920.63,1173.6
921.02,1173.6
921.41,1178.8
921.80,1178.8
922.19,1178.8
922.57,1178.8
922.96,1181.3
923.35,1181.3
923.74,1181.3
924.13,1181.3
929.57,1202.1
929.96,1202.1
930.34,1202.1
930.73,1204.7
931.12,1204.7
931.51,1204.7
931.90,1204.7
932.29,1204.7
932.68,1204.7
933.06,1209.8
933.45,1209.8
933.84,1209.8
934.23,1209.8
934.62,1209.8
935.01,1209.8
935.40,1215.0
935.78,1215.0
936.17,1215.0
936.56,1215.0
936.95,1215.0
937.34,1215.0
937.73,1217.6
938.12,1217.6
938.50,1217.6
938.89,1217.6
944.72,1238.3
945.11,1238.3
945.50,1238.3
945.89,1240.9
946.27,1240.9
946.66,1240.9
947.05,1240.9
947.44,1240.9
947.83,1240.9
948.22,1246.1
948.61,1246.1
948.99,1246.1
949.38,1246.1
949.77,1246.1
950.16,1251.3
950.55,1251.3
950.94,1251.3
951.33,1256.5
951.71,1256.5
952.10,1256.5
952.49,1259.1
952.88,1259.1
953.27,1259.1
953.66,1259.1
959.10,1290.2
959.48,1290.2
959.87,1290.2
960.26,1292.7
960.65,1292.7
961.04,1292.7
961.43,1297.9
961.82,1297.9
962.20,1297.9
962.59,1303.1
962.98,1303.1
963.37,1303.1
963.76,1308.3
964.15,1308.3
964.54,1308.3
964.92,1313.5
965.31,1313.5
965.70,1313.5
966.09,1318.7
966.48,1318.7
966.87,1318.7
967.26,1321.2
967.64,1321.2
968.03,1321.2
968.42,1321.2
973.47,1352.3
973.86,1352.3
974.25,1352.3
974.64,1354.9
975.03,1354.9
975.41,1354.9
975.80,1360.1
976.19,1360.1
976.58,1360.1
976.97,1365.3
977.36,1365.3
977.75,1365.3
978.13,1370.5
978.52,1370.5
978.91,1370.5
979.30,1375.6
979.69,1375.6
980.08,1380.8
980.47,1380.8
980.85,1380.8
981.24,1383.4
981.63,1383.4
982.02,1383.4
982.41,1383.4
987.85,1424.9
988.24,1424.9
988.62,1424.9
989.01,1427.5
989.40,1427.5
989.79,1430.1
990.18,1432.6
990.57,1435.2
990.96,1435.2
991.34,1440.4
991.73,1440.4
992.12,1445.6
992.51,1445.6
992.90,1450.8
993.29,1450.8
993.68,1456.0
994.06,1458.5
994.45,1461.1
994.84,1461.1
995.23,1463.7
995.62,1463.7
996.01,1466.3
996.40,1466.3
1001.06,1520.7
1001.45,1518.1
1001.83,1520.7
1002.22,1520.7
1002.61,1523.3
1003.00,1525.9
1003.39,1528.5
1003.78,1531.1
1004.17,1536.3
1004.55,1536.3
1004.94,1541.5
1005.33,1544.0
1005.72,1546.6
1006.11,1551.8
1006.50,1554.4
1006.89,1557.0
1007.27,1562.2
1007.66,1562.2
1008.05,1564.8
1008.44,1567.4
1008.83,1567.4
1009.22,1569.9
1009.61,1569.9
1013.88,1624.4
1014.27,1621.8
1014.66,1624.4
1015.05,1626.9
1015.43,1626.9
1015.82,1629.5
1016.21,1634.7
1016.60,1634.7
1016.99,1639.9
1017.38,1645.1
1017.76,1645.1
1018.15,1650.3
1018.54,1655.4
1018.93,1658.0
1019.32,1660.6
1019.71,1663.2
1020.10,1663.2
1020.48,1665.8
1020.87,1668.4
1021.26,1668.4
1025.15,1748.7
1025.54,1748.7
1025.92,1751.3
1026.31,1753.9
1026.70,1756.5
1027.09,1759.1
1027.48,1764.2
1027.87,1769.4
1028.26,1774.6
1028.64,1779.8
1029.03,1785.0
1029.42,1790.2
1029.81,1795.3
1030.20,1800.5
1030.59,1803.1
1030.97,1805.7
1031.36,1808.3
1031.75,1810.9
1032.14,1813.5
1032.53,1813.5
1035.64,1893.8
1036.03,1893.8
1036.41,1896.4
1036.80,1899.0
1037.19,1901.6
1037.58,1904.1
1037.97,1909.3
1038.36,1914.5
1038.75,1919.7
1039.13,1924.9
