wavelength_nm,Re_electron,Im_electron,Re_hole,Im_hole,Re_total,Im_total,cancellation_fraction_modulus
524,18.087318084113029,0.0030486553455130023,-16.797915083849297,-0.0028004297611305996,1.2894030002637358,0.00024822558438240242,0.96303871612884429
525,18.252139560153015,0.003093936857846626,-16.949502481899678,-0.0028415217522667659,1.3026370782533401,0.00025241510557985961,0.962994990897444
526,18.418702082513043,0.0031399817999129644,-17.102665365273225,-0.0028832945596421254,1.3160367172398186,0.00025668724027083927,0.96295084288952459
527,18.587029847687347,0.0031868056440468432,-17.257425158251451,-0.0029257616778292327,1.3296046894358935,0.00026104396621761002,0.962906265543505
528,18.757147500328749,0.0032344242460297015,-17.413803672006729,-0.0029689369273394562,1.3433438283220154,0.000265487318690245,0.96286125215785023
529,18.929080143899853,0.0032828538566054642,-17.571823113545729,-0.0030128344641423919,1.357257030354122,0.00027001939246307195,0.96281579588726307
530,19.102853351637897,0.0033321111334086769,-17.731506094908585,-0.0030574687895164078,1.371347256729317,0.00027464234389226966,0.96276988973874789
531,19.27849317784473,0.0033822131533224262,-17.89287564263299,-0.0031028547602439606,1.3856175352117375,0.00027935839307846534,0.96272352656754168
532,19.456026169513034,0.0034331774252840015,-18.055955207492122,-0.0031490075991657154,1.40007096202091,0.00028416982611828567,0.96267669907291253
533,19.635479378301568,0.0034850219035575318,-18.220768674516155,-0.0031959429061084272,1.414710703785413,0.00028907899744910423,0.96262939979381013
534,19.816880372871278,0.0035377650014934399,-18.387340373307122,-0.0032436766692020042,1.4295399995641538,0.00029408833229143479,0.96258162110437429
535,20.000257251596196,0.0035914256057958073,-18.555695088657775,-0.003292225276602178,1.4445621629384178,0.00029920032919362972,0.96253335520928351
536,20.185638655662302,0.0036460230913196124,-18.725858071485057,-0.003341605528635759,1.4597805841772442,0.00030441756268385293,0.96248459413894838
537,20.373053782568913,0.0037015773364209728,-18.897855050089412,-0.0033918346503864581,1.4751987324794995,0.00030974268603451479,0.96243532974453438
538,20.56253240004753,0.0037581087388847412,-19.071712241751968,-0.0034429303047400564,1.4908201582955596,0.00031517843414468412,0.96238555369281487
539,20.754104860413761,0.0038156382324549525,-19.247456364681508,-0.0034949106059086743,1.5066484957322577,0.00032072762654627789,0.96233525746083881
540,20.947802115368535,0.0038741873039949684,-19.425114650324179,-0.0035477941334548279,1.5226874650443536,0.0003263931705401403,0.96228443233041383
541,21.14365573126577,0.0039337780113056116,-19.604714856049394,-0.003601599946837081,1.5389408752163702,0.00033217806446853059,0.96223306938239206
542,21.341697904864006,0.0039944330016308512,-19.786285278225328,-0.0036563476005000459,1.5554126266386756,0.00033808540113080469,0.96218115949074901
543,21.541961479581136,0.0040561755308825068,-19.969854765699328,-0.0037120571595329471,1.5721067138818059,0.00034411837134955964,0.9621286933164529
544,21.74447996227083,0.0041190294836166274,-20.155452733697562,-0.003768749215921745,1.5890272285732649,0.00035028026769488277,0.96207566130111055
545,21.949287540542084,0.0041830193937964465,-20.343109178160489,-0.0038264449054216648,1.6061783623815913,0.00035657448837478193,0.96202205366037807
546,22.15641910064187,0.0042481704663781487,-20.532854690529962,-0.0038851659250777864,1.6235644101119115,0.00036300454130036282,0.961967860377135
547,22.365910245924425,0.0043145085997581874,-20.72472047300602,-0.0039449345514233538,1.6411897729184082,0.00036957404833483322,0.96191307119440206
548,22.577797315929402,0.0043820604091224669,-20.918738354290738,-0.0040057736593865764,1.6590589616386606,0.00037628674973589021,0.96185767560799595
549,22.792117406093961,0.0044508532507403038,-21.114940805838557,-0.0040677067419386086,1.6771766002554083,0.00038314650880169566,0.96180166285890989
550,23.00890838812413,0.0045209152472483107,-21.313360958632678,-0.0041307579305171092,1.6955474294914419,0.00039015731673120206,0.96174502192540701
