n_1based,m_1based,k_per_nm,k_pi_over_a,transition_eV,one_photon_nm,two_photon_nm
1,1,0.31675723036224,0.05699999999997298,1.5612028894063992,794.1581407599193,1588.3162815198386
1,1,0.31860961182635,0.05733333333330675,1.5618932893864,793.8071009237001,1587.6142018474002
1,1,0.32046199329045,0.05766666666663873,1.5625863773250999,793.4550063865352,1586.9100127730703
1,1,0.32231437475456,0.057999999999972504,1.5632821690332988,793.1018523461395,1586.203704692279
1,1,0.32416675621867,0.058333333333306286,1.563980680665,792.7476338600441,1585.4952677200881
1,1,0.32601913768277,0.058666666666638265,1.5646819286711484,792.3923458699186,1584.7846917398372
1,1,0.32787151914688,0.05899999999997203,1.5653859297530988,792.0359832259094,1584.0719664518188
1,1,0.32972390061099,0.05933333333330581,1.5660927008186996,791.6785407095334,1583.3570814190668
1,1,0.33157628207509,0.05966666666663777,1.5668022589378492,791.3200130567217,1582.6400261134434
1,1,0.3334286635392,0.05999999999997155,1.5675146213003004,790.9603949796103,1581.9207899592207
1,1,0.33528104500331,0.06033333333330534,1.5682298051742996,790.5996811877956,1581.1993623755911
1,1,0.33713342646741,0.06066666666663731,1.5689478278674491,790.2378664083575,1580.475732816715
1,1,0.33898580793152,0.06099999999997108,1.5696687066890995,789.8749454050067,1579.7498908100133
1,1,0.34083818939563,0.06133333333330485,1.570392458913249,789.5109129968707,1579.0218259937415
1,1,0.34269057085973,0.06166666666663683,1.571119101745449,789.1457640751654,1578.2915281503308
1,1,0.34454295232384,0.06199999999997061,1.5718486522892496,788.7794936200039,1577.5589872400078
1,1,0.34639533378795,0.06233333333330438,1.5725811275164998,788.4120967151765,1576.824193430353
1,1,0.34824771525205,0.06266666666663637,1.57331654423865,788.0435685623435,1576.087137124687
1,1,0.35010009671616,0.06299999999997014,1.5740549190796493,787.6739044943464,1575.3478089886928
1,1,0.35195247818027,0.0633333333333039,1.5747962684516492,787.3030999870359,1574.6061999740718
1,1,0.35380485964437,0.06366666666663588,1.5755406085320989,786.9311506703322,1573.8623013406643
1,1,0.35565724110848,0.06399999999996966,1.5762879552426992,786.558052338288,1573.116104676576
1,1,0.35750962257259,0.06433333333330343,1.5770383242305492,786.1838009579949,1572.3676019159898
1,1,0.35936200403669,0.06466666666663541,1.577791730850749,785.8083926777042,1571.6167853554084
1,1,0.3612143855008,0.0649999999999692,1.5785481901506497,785.431823834073,1570.863647668146
1,1,0.36306676696491,0.06533333333330296,1.5793077168566498,785.0540909580939,1570.1081819161877
1,1,0.36491914842901,0.06566666666663494,1.5800703253611499,784.6751907809006,1569.3503815618012
1,1,0.36677152989312,0.06599999999996871,1.5808360297126998,784.2951202379465,1568.590240475893
1,1,0.36862391135723,0.06633333333330248,1.58160484360615,783.9138764731454,1567.8277529462907
1,1,0.37047629282133,0.06666666666663446,1.5823767803751496,783.5314568418139,1567.0629136836278
1,1,0.37232867428544,0.06699999999996824,1.5831518529854491,783.1478589131875,1566.295717826375
1,1,0.37418105574955,0.06733333333330202,1.5839300740303492,782.763080471849,1565.526160943698
1,1,0.37603343721365,0.067666666666634,1.5847114557254998,782.3771195194556,1564.7542390389112
1,1,0.37788581867776,0.06799999999996777,1.585496009907,781.9899742748171,1563.9799485496342
1,1,0.37973820014187,0.06833333333330154,1.5862837480288496,781.6016431742771,1563.2032863485542
1,1,0.38159058160597,0.06866666666663351,1.5870746811620988,781.2121248712469,1562.4242497424939
1,1,0.38344296307008,0.0689999999999673,1.587868819994749,780.8214182353552,1561.6428364707103
1,1,0.38529534453419,0.06933333333330106,1.5886661748322004,780.4295223513245,1560.859044702649
1,1,0.38714772599829,0.06966666666663304,1.5894667555990492,780.0364365171763,1560.0728730343526
1,1,0.3890001074624,0.06999999999996682,1.5902705718408001,779.6421602424765,1559.284320484953
1,1,0.39085248892651,0.0703333333333006,1.5910776327266494,779.2466932460533,1558.4933864921065
1,1,0.39270487039061,0.07066666666663256,1.5918879470527492,778.8500354534792,1557.7000709069584
1,1,0.39455725185472,0.07099999999996634,1.5927015232459996,778.4521869942992,1556.9043739885983
1,1,0.39640963331883,0.07133333333330012,1.5935183693678001,778.0531481992799,1556.1062963985598
1,1,0.39826201478293,0.07166666666663209,1.59433849311945,777.6529195968609,1555.3058391937218
1,1,0.40011439624704,0.07199999999996587,1.5951619018459005,777.2515019104148,1554.5030038208297
1,1,0.40196677771115,0.07233333333329964,1.595988602542149,776.8488960542288,1553.6977921084576
1,1,0.40381915917525,0.07266666666663162,1.59681860185765,776.44510313046,1552.89020626092
1,1,0.40567154063936,0.0729999999999654,1.5976519061028498,776.0401244250663,1552.0802488501326
1,1,0.40752392210347,0.07333333333329917,1.59848852125465,775.6339614042713,1551.2679228085426
1,1,0.40937630356757,0.07366666666663114,1.5993284529624996,775.2266157107324,1550.4532314214648
1,1,0.41122868503168,0.07399999999996491,1.6001717065543988,774.8180891597652,1549.6361783195305
1,1,0.41308106649579,0.0743333333332987,1.6010182870437497,774.4083837351695,1548.816767470339
1,1,0.41493344795989,0.07466666666663067,1.6018681991350496,773.9975015856294,1547.9950031712588
1,1,0.416785829424,0.07499999999996444,1.6027214472307503,773.5854450205625,1547.170890041125
1,1,0.41863821088811,0.07533333333329822,1.603578035437199,773.1722165064265,1546.344433012853
1,1,0.42049059235221,0.07566666666663019,1.6044379675718494,772.7578186624269,1545.5156373248537
1,1,0.42234297381632,0.07599999999996397,1.6053012471689,772.3422542569988,1544.6845085139976
1,1,0.42419535528043,0.07633333333329775,1.6061678774861987,771.9255262036913,1543.8510524073827
1,1,0.42604773674453,0.07666666666662972,1.6070378615115992,771.5076375573315,1543.015275114663
1,1,0.42790011820864,0.0769999999999635,1.607911201969099,771.0885915103086,1542.1771830206171
1,1,0.42975249967275,0.07733333333329727,1.6087879013253492,770.6683913886941,1541.3367827773882
1,1,0.43160488113685,0.07766666666662925,1.6096679617956988,770.2470406485995,1540.494081297199
1,1,0.43345726260096,0.07799999999996303,1.61055138535055,769.8245428724014,1539.6490857448027
1,1,0.43530964406507,0.0783333333332968,1.6114381737210997,769.4009017652737,1538.8018035305474
1,1,0.43716202552917,0.07866666666662878,1.6123283284057985,768.9761211513928,1537.9522423027856
1,1,0.43901440699328,0.07899999999996254,1.6132218506757996,768.5502049706394,1537.1004099412787
1,1,0.44086678845739,0.07933333333329633,1.6141187415808498,768.123157275104,1536.246314550208
1,1,0.44271916992149,0.07966666666662829,1.615019001955049,767.6949822256696,1535.3899644513392
1,1,0.4445715513856,0.07999999999996207,1.6159226324225495,767.2656840886378,1534.5313681772757
1,1,0.44642393284971,0.08033333333329584,1.6168296334024996,766.8352672327283,1533.6705344654565
1,1,0.44827631431381,0.08066666666662783,1.6177400051152493,766.4037361254922,1532.8074722509843
1,1,0.45012869577792,0.0809999999999616,1.61865374758655,765.9710953306925,1531.942190661385
1,1,0.45198107724203,0.08133333333329537,1.61957086065355,765.5373495048453,1531.0746990096907
