wavelength_nm,C_m1_n1_l1_Re_pm_per_V,C_m1_n1_l1_Im_pm_per_V,C_m1_n1_l2_Re_pm_per_V,C_m1_n1_l2_Im_pm_per_V,V_m1_n1_l1_Re_pm_per_V,V_m1_n1_l1_Im_pm_per_V,V_m1_n1_l2_Re_pm_per_V,V_m1_n1_l2_Im_pm_per_V,C_m1_n2_l1_Re_pm_per_V,C_m1_n2_l1_Im_pm_per_V,C_m1_n2_l2_Re_pm_per_V,C_m1_n2_l2_Im_pm_per_V,V_m1_n2_l1_Re_pm_per_V,V_m1_n2_l1_Im_pm_per_V,V_m1_n2_l2_Re_pm_per_V,V_m1_n2_l2_Im_pm_per_V,C_m2_n1_l1_Re_pm_per_V,C_m2_n1_l1_Im_pm_per_V,C_m2_n1_l2_Re_pm_per_V,C_m2_n1_l2_Im_pm_per_V,V_m2_n1_l1_Re_pm_per_V,V_m2_n1_l1_Im_pm_per_V,V_m2_n1_l2_Re_pm_per_V,V_m2_n1_l2_Im_pm_per_V,C_m2_n2_l1_Re_pm_per_V,C_m2_n2_l1_Im_pm_per_V,C_m2_n2_l2_Re_pm_per_V,C_m2_n2_l2_Im_pm_per_V,V_m2_n2_l1_Re_pm_per_V,V_m2_n2_l1_Im_pm_per_V,V_m2_n2_l2_Re_pm_per_V,V_m2_n2_l2_Im_pm_per_V
711,134.4227787463565,6.0930246388912526,-1.030847869216436,-2.5038026016030632,-133.65017574978933,-6.0580046137283521,-0.317626574673601,-0.02130926069061792,-0.97600072852417508,-0.044370581972086882,1.6956524882881709,4.1033132640821091,-1.1495710895659768,-2.7818496610608263,0.11373440062476509,1.332355172017534,0.044915753305906102,0.0030170744513057348,0.013746308313569157,0.1684025029960281,-0.24082112917020093,-0.010930600388317536,-0.044935584803169865,-0.0030184065697568757,0.095455781823823735,0.0064232501825903301,6.7298848705146916,80.876268450032356,0.60450513360806368,1.4692244835044914,-4.5909404684681441,-55.171543185337022
712,137.6430878126186,6.3988741161938831,-0.94879434520814632,-2.5145981974329548,-136.85197589622652,-6.3620962027856489,-0.32874956603763572,-0.02309385409732603,-0.99952589096067546,-0.046600851513716401,1.5616213654683155,4.1219822064264768,-1.0587044143716273,-2.7945063088940905,0.086574654270044141,1.3296619769165203,0.046491470534227766,0.0032699216945111013,0.010303895306718826,0.16800749106767804,-0.24660266955063395,-0.011479787522276731,-0.046511997752471404,-0.0032713654517313312,0.098818140053077083,0.006961738279843018,5.0784981170904873,80.705915532624317,0.55642744713857173,1.4758597439975827,-3.464410309147953,-55.055333158345825
713,141.01250883537458,6.7293327583897131,-0.8707431023465555,-2.5239706110029649,-140.20203096922938,-6.6906555140824855,-0.34075368652510291,-0.025143725100290067,-1.0241406273972502,-0.04901054380015453,1.4340868919193179,4.1383323227021931,-0.97224215590323415,-2.8055909038281492,0.060206013761656331,1.326926114191316,0.048192070036938262,0.003560364105304394,0.0069640225520145385,0.16760660737483704,-0.25265210665528931,-0.012073182219177251,-0.04821334811500063,-0.0035619361005580748,0.10244678457794855,0.0075802607177320814,3.4755783865082153,80.532681207978229,0.51067662720682094,1.4816564476798717,-2.3709430061518333,-54.937157515396855
714,144.54278378943161,7.0873115077141984,-0.79610547097345308,-2.532169328194084,-143.71201545589949,-7.046576759038925,-0.35376630167183892,-0.027520174314219048,-1.0499306506275796,-0.051620873979508007,1.3120881622001652,4.1527707342385929,-0.88953286634208439,-2.8153794546049995,0.034566615734203901,1.3241785872848872,0.050035605608106638,0.0038970900888728268,0.0037188595917960494,0.16720381457507624,-0.25899054104306679,-0.012716014770349636,-0.050057697656055833,-0.0038988107575858239,0.10638017662037504,0.0082973081043692509,1.917398590015863,80.358467321567986,0.46690924392316141,1.4867602467271055,-1.3079960430904589,-54.818313642629569
715,148.24703083381115,7.4761909782786553,-0.72439196781541249,-2.5393803896616918,-147.39497211785132,-7.4332211214835855,-0.36794286120654052,-0.030304594363954534,-1.0769917113910383,-0.054456479154673026,1.1948260536141369,4.1656009430746597,-0.81003477881347119,-2.8240777210557662,0.0095993524231959802,1.3214501563766867,0.05204411210828163,0.0042916359010413824,0.0005611849884472526,0.16680304421871101,-0.26564154656417172,-0.013414359453973962,-0.052067090965161558,-0.0042935307722027083,0.1106652544972144,0.0091374307268160017,0.40052082502271391,80.185162939610706,0.42483981856587788,1.491279711971969,-0.2732241783387846,-54.70009020852951
716,152.13996403316327,7.8999194710323906,-0.65519042403125749,-2.5457435386312635,-151.26553044976421,-7.854514209268868,-0.38347530317349632,-0.033607292805416973,-1.1054312002432281,-0.057546132353760306,1.0816275295845761,4.1770508263076129,-0.73329160678693572,-2.8318401929268737,-0.014749191040709738,1.3187718120172354,0.05424479681935597,0.0047596362390168291,-0.00251574857388252,0.16640825694951736,-0.27263156526719129,-0.014175310675932922,-0.054268747336947649,-0.0047617377447493016,0.11535996987618465,0.010133899280224058,-1.0782681521824014,80.014673282024447,0.38422804542569639,1.4952963606712539,0.73556457368279682,-54.583786901188063
717,156.23815817026886,8.3631364880309054,-0.58814966361145149,-2.5513638517323929,-155.34016996985943,-8.3150688586334773,-0.40060355024021094,-0.037581317551989159,-1.1353700780592038,-0.060923642218040239,0.97191900209116533,4.1872916208339648,-0.65891448508518846,-2.8387829606242594,-0.038529705380137176,1.3161752000111899,0.056671669155585684,0.0053227839129103604,-0.0055183371294450518,0.16602349650330656,-0.27999038335105503,-0.015007204936576183,-0.05669669120172921,-0.005325134063288238,0.12053675719655936,0.011332874121740041,-2.5220157498192233,79.848945719624041,0.34486925689340209,1.4988714587132121,1.7204490701894604,-54.4707321628673
718,160.56037007563418,8.8713298034600694,-0.5229671693988811,-2.5563197704348775,-159.63753970263292,-8.8203413024514603,-0.41963129455334353,-0.042444852021605403,-1.1669452184276472,-0.064628997085676848,0.8652062025034043,4.1964510297601869,-0.58656832327429609,-2.8449926007314299,-0.061791067471131118,1.3136930107416371,0.059367778342522569,0.0060120042381273308,-0.0084527407184496542,0.1656529391907387,-0.28775170869883904,-0.015919903104087758,-0.059393990792433807,-0.0060146586975724668,0.12628729739834729,0.012800158724800878,-3.9336588184940657,79.689993641559695,0.30658721852310589,1.5020507185627976,2.6834327490642451,-54.362299471703473
719,165.12793137044355,9.4310371832951603,-0.45937965747709003,-2.5606687229255987,-164.17884866449486,-9.3768317304953896,-0.44094747301256676,-0.048518876203959269,-1.2003122704778322,-0.068709834246044668,0.76105879934842047,4.2046223933431808,-0.51596137724774971,-2.8505323934673972,-0.084581223562563743,1.3113593414987139,0.062388257830715978,0.0068727933151413812,-0.011324995097374002,0.16530093996443002,-0.29595387676784063,-0.016925152928636673,-0.06241580390249251,-0.0068758278358115668,0.13272899936828042,0.014632556530883838,-5.31607729112695,79.539918718594578,0.26922862334250719,1.504867588702073,3.6264802205260782,-54.259922529096137
720,169.96523222237272,10.050108222711147,-0.39715580664009975,-2.5644510941621856,-168.98834683916684,-9.9923446219203758,-0.46505427712698882,-0.056293209820891657,-1.2356491849473372,-0.073223347013644816,0.65909853366157389,4.2118711616830575,-0.44683720556302381,-2.8554467108620503,-0.10694807402115029,1.3092100363155588,0.065804296209126228,0.0079745793852100989,-0.014141123492953312,0.16497207565757041,-0.30464072006400689,-0.01803705959830219,-0.065833350552517253,-0.0079781003736744491,0.14001345494932865,0.016977786306754741,-6.6721479257191065,79.400931842134767,0.23265884517198185,1.5073455776537279,4.5515539289525897,-54.16510954373274
