pathway_1,pathway_2,sum_individual_l2_pm_per_V,summed_l2_pm_per_V,retained_l2_fraction,cancellation_fraction
V_m1_n2_l2,C_m2_n1_l1,49.34132086683978,47.92513823143215,0.9712982423143969,0.028701757685603124
C_m1_n1_l2,V_m2_n2_l2,1964.7871926591433,1909.3349426625248,0.9717769689237594,0.02822303107624058
V_m1_n2_l2,V_m2_n2_l1,93.82809289193312,91.2219250439027,0.9722240134302624,0.027775986569737565
C_m1_n1_l2,V_m2_n1_l1,106.34878276014088,103.3955367690985,0.9722305614188069,0.027769438581193073
V_m1_n1_l2,V_m2_n1_l1,47.51389192413384,46.33253570747952,0.9751366143918372,0.024863385608162814
C_m1_n2_l2,V_m2_n2_l1,182.98004046308688,179.5096775087455,0.9810341994374985,0.018965800562501522
V_m1_n2_l2,C_m2_n2_l1,53.07775666762627,52.09325322457933,0.9814516757139546,0.01854832428604536
C_m1_n2_l1,V_m1_n2_l1,192.08496950470897,188.73870838983584,0.9825792662304528,0.017420733769547225
C_m1_n2_l2,C_m2_n1_l2,140.97412540173917,138.75008167985007,0.9842237452046525,0.0157762547953475
C_m2_n1_l1,C_m2_n1_l2,8.997578799690583,8.858500053660551,0.984542647624846,0.015457352375153999
V_m1_n2_l1,V_m2_n1_l2,94.942583076809,93.54071382731347,0.9852345575181853,0.014765442481814661
V_m1_n1_l1,C_m1_n2_l2,13711.365679968521,13525.091963530913,0.9864146489280974,0.013585351071902618
C_m1_n2_l1,V_m2_n1_l2,103.66198556950597,102.39628697309354,0.9877901374408483,0.012209862559151685
V_m2_n1_l1,C_m2_n2_l2,2784.0573237678636,2750.557044023919,0.9879671013028545,0.012032898697145522
C_m1_n1_l1,C_m1_n1_l2,13736.724840289544,13578.206161901851,0.9884602275847617,0.011539772415238292
C_m1_n1_l1,C_m1_n2_l1,13755.013658212367,13609.073884444299,0.9893900669679861,0.010609933032013852
V_m1_n1_l2,C_m2_n2_l2,2783.100386323474,2754.139009070025,0.989593843831229,0.010406156168771052
C_m1_n2_l2,C_m2_n1_l1,138.49326843799355,137.07958145317176,0.9897923776313018,0.01020762236869821
V_m1_n1_l2,V_m2_n1_l2,26.53827681067518,26.28759955879988,0.9905541247586029,0.009445875241397061
C_m1_n1_l1,V_m1_n2_l1,13746.294255719671,13619.88164387752,0.9908038770674829,0.009196122932517148
V_m1_n1_l2,V_m2_n2_l2,1905.9523018231364,1888.5836865455208,0.9908871721181051,0.009112827881894936
C_m1_n2_l1,V_m2_n2_l2,1983.076010581967,1965.3182401253778,0.9910453404903133,0.008954659509686658
C_m1_n1_l2,V_m1_n1_l2,105.39184531575138,104.50031620567026,0.9915408150658135,0.008459184934186514
V_m2_n1_l1,V_m2_n2_l2,1906.909239267526,1892.1616327207564,0.9922662252386829,0.0077337747613170915
C_m2_n2_l1,V_m2_n2_l2,1889.6686213020232,1876.1473910871798,0.9928446553737411,0.007155344626258886
C_m1_n2_l2,C_m2_n2_l1,142.22970423878002,141.26547565805245,0.9932206244406668,0.006779375559333167
C_m1_n1_l1,C_m1_n2_l2,13789.846379733686,13706.797851144205,0.9939775595534165,0.00602244044658351
C_m2_n2_l1,V_m2_n2_l1,54.739929661824775,54.43169950270684,0.9943691897117491,0.005630810288250854
C_m1_n1_l2,V_m2_n1_l2,85.37316764668222,84.94826441441734,0.9950229885574429,0.004977011442557133
C_m1_n2_l2,C_m2_n2_l2,2895.056816603623,2880.9069083562986,0.9951123901381927,0.004887609861807252
V_m1_n2_l1,V_m2_n2_l2,1974.3566080892701,1964.7610079814249,0.995139885029619,0.004860114970380969
V_m1_n1_l1,V_m1_n2_l2,13622.213732397367,13559.388075458563,0.9953879994710854,0.004612000528914639
C_m2_n1_l2,V_m2_n2_l2,1888.4130424649823,1879.9558377780984,0.9955215281314492,0.004478471868550771
V_m1_n1_l1,V_m2_n2_l1,13623.875905391566,13564.40607141198,0.9956348814102123,0.00436511858978772
V_m1_n1_l1,V_m1_n2_l1,13667.813555954506,13611.388028325786,0.9958716493023759,0.0041283506976240725
V_m1_n1_l1,C_m1_n2_l1,13676.532958447202,13622.254466481429,0.9960312681488295,0.003968731851170526
C_m1_n1_l1,V_m2_n1_l1,13678.846886897925,13632.498471201121,0.9966116723083436,0.003388327691656423
C_m1_n1_l1,V_m1_n1_l2,13677.889949453536,13631.585031592394,0.9966146154098139,0.0033853845901861135
C_m1_n1_l1,V_m2_n2_l1,13702.35660515673,13666.493370345084,0.9973826958496943,0.0026173041503056993
C_m2_n1_l1,V_m2_n2_l2,1885.9321855012365,1881.3568695815381,0.9975739764372904,0.0024260235627096005
C_m1_n2_l2,V_m1_n2_l2,181.31786746888838,180.9046900700032,0.9977212538143486,0.0022787461856513813
C_m1_n1_l1,V_m1_n2_l2,13700.694432162532,13671.489389171755,0.9978683530871093,0.0021316469128906945
V_m2_n1_l2,C_m2_n2_l2,2763.081708654405,2758.5036228696968,0.9983431232705248,0.0016568767294752318
V_m1_n2_l2,C_m2_n2_l2,2805.9048690324694,2801.49043960949,0.9984267358912629,0.001573264108737149
V_m2_n1_l1,V_m2_n1_l2,27.495214255064674,27.46332338105335,0.9988401300053353,0.001159869994664664
C_m2_n1_l2,C_m2_n2_l2,2765.56112696532,2762.5512996407424,0.9989116757191766,0.001088324280823394
V_m2_n1_l2,V_m2_n2_l2,1885.933624154067,1883.9960789211354,0.9989726333906366,0.0010273666093634226
V_m1_n1_l1,C_m2_n1_l2,13581.869990330219,13571.398236495503,0.9992289902758478,0.0007710097241522273
C_m2_n1_l1,C_m2_n2_l2,2763.0802700015743,2761.1428304743554,0.9992988117108818,0.0007011882891182486
V_m1_n1_l1,C_m2_n2_l1,13583.125569167258,13573.969001844172,0.9993258865732737,0.0006741134267262971
V_m1_n1_l1,C_m2_n1_l1,13579.389133366472,13573.192842506049,0.9995436988512835,0.0004563011487165314
C_m1_n1_l1,V_m2_n1_l2,13657.871271784468,13651.672244708725,0.9995461205518499,0.0004538794481501185
C_m1_n1_l2,V_m1_n1_l1,13658.244140524379,13652.602168012942,0.9995869181680025,0.00041308183199750825
C_m1_n1_l1,C_m2_n2_l1,13661.606268932423,13656.776492621892,0.9996464708310681,0.0003535291689319431
C_m2_n2_l2,V_m2_n2_l1,2807.567042026668,2806.9871422371775,0.9997934511337362,0.00020654886626381153
C_m2_n2_l1,C_m2_n2_l2,2766.816705802361,2766.351165108202,0.9998317414040538,0.000168258595946158
V_m1_n1_l1,V_m2_n1_l1,13600.36618713276,13598.250986730018,0.9998444747462208,0.00015552525377915405
C_m1_n1_l1,C_m2_n1_l2,13660.350690095383,13659.344782156597,0.9999263629491214,7.36370508785944e-05
V_m1_n1_l1,V_m2_n1_l2,13579.390572019303,13579.07014587831,0.9999764034962177,2.3596503782252753e-05
C_m1_n1_l1,C_m2_n1_l1,13657.869833131637,13657.549547952574,0.9999765494046308,2.3450595369234328e-05
V_m1_n1_l1,V_m1_n1_l2,13599.409249688371,13599.158068784267,0.9999815300135843,1.846998641574782e-05
