wavelength_nm,re_chi2,im_chi2,abs_re_chi2,abs_chi2
751,24.7857,9.47125,24.7857,26.5336
752,25.4359,7.57102,25.4359,26.5388
753,25.2553,5.518,25.2553,25.8511
754,24.4353,3.90844,24.4353,24.7459
755,23.4438,2.83909,23.4438,23.6151
756,22.5097,2.14051,22.5097,22.6112
757,21.6859,1.66623,21.6859,21.7498
758,20.969,1.32869,20.969,21.0111
759,20.3432,1.07801,20.3432,20.3717
760,19.7927,0.88495,19.7927,19.8124
761,19.3044,0.731587,19.3044,19.3182
762,18.868,0.606363,18.868,18.8777
763,18.4754,0.501417,18.4754,18.4822
764,18.1203,0.411016,18.1203,18.125
765,17.7978,0.330529,17.7978,17.8009
766,17.5035,0.255622,17.5035,17.5053
767,17.2323,0.18172,17.2323,17.2333
768,16.9768,0.105175,16.9768,16.9771
769,16.727,0.0285531,16.727,16.727
770,16.4804,-0.0390814,16.4804,16.4804
771,16.2425,-0.0938531,16.2425,16.2428
772,16.0172,-0.138157,16.0172,16.0178
773,15.805,-0.175092,15.805,15.8059
774,15.6049,-0.206792,15.6049,15.6063
775,15.416,-0.2346,15.416,15.4177
776,15.237,-0.259381,15.237,15.2392
777,15.0671,-0.281722,15.0671,15.0697
778,14.9055,-0.30204,14.9055,14.9085
779,14.7513,-0.320646,14.7513,14.7548
780,14.6041,-0.337778,14.6041,14.608
781,14.4632,-0.353625,14.4632,14.4675
782,14.3282,-0.36834,14.3282,14.3329
783,14.1986,-0.382049,14.1986,14.2037
784,14.074,-0.394855,14.074,14.0795
785,13.9541,-0.406847,13.9541,13.96
786,13.8385,-0.418099,13.8385,13.8448
787,13.727,-0.428676,13.727,13.7337
788,13.6193,-0.438631,13.6193,13.6264
789,13.5152,-0.448011,13.5152,13.5226
790,13.4144,-0.456855,13.4144,13.4222
791,13.3167,-0.465199,13.3167,13.3248
792,13.2219,-0.473068,13.2219,13.2303
793,13.1298,-0.480487,13.1298,13.1386
794,13.0402,-0.487473,13.0402,13.0493
795,12.953,-0.494038,12.953,12.9625
796,12.8681,-0.500189,12.8681,12.8778
797,12.7851,-0.505927,12.7851,12.7951
798,12.704,-0.511244,12.704,12.7143
799,12.6247,-0.516124,12.6247,12.6352
800,12.5468,-0.520538,12.5468,12.5576
801,12.4704,-0.524443,12.4704,12.4814
802,12.3951,-0.527768,12.3951,12.4063
803,12.3208,-0.530413,12.3208,12.3322
804,12.2472,-0.532219,12.2472,12.2588
805,12.1742,-0.532948,12.1742,12.1859
806,12.1014,-0.532218,12.1014,12.1131
807,12.0286,-0.529414,12.0286,12.0403
808,11.9558,-0.523532,11.9558,11.9672
809,11.8833,-0.51301,11.8833,11.8944
810,11.8134,-0.49599,11.8134,11.8238
811,11.7504,-0.472347,11.7504,11.7599
812,11.6984,-0.446887,11.6984,11.7069
813,11.6554,-0.426067,11.6554,11.6632
814,11.6162,-0.411655,11.6162,11.6235
815,11.5776,-0.402126,11.5776,11.5846
816,11.5383,-0.395678,11.5383,11.5451
817,11.4981,-0.391041,11.4981,11.5047
818,11.4568,-0.38739,11.4568,11.4634
819,11.4146,-0.384161,11.4146,11.421
820,11.3713,-0.380931,11.3713,11.3776
821,11.3269,-0.377326,11.3269,11.3331
822,11.2812,-0.372957,11.2812,11.2873
823,11.234,-0.367355,11.234,11.24
824,11.185,-0.359885,11.185,11.1908
825,11.134,-0.34962,11.134,11.1395
826,11.0806,-0.335125,11.0806,11.0856
827,11.025,-0.314149,11.025,11.0295
828,10.9687,-0.28334,10.9687,10.9724
829,10.9164,-0.238952,10.9164,10.919
830,10.8777,-0.181064,10.8777,10.8793
831,10.8611,-0.119613,10.8611,10.8618
832,10.863,-0.0680289,10.863,10.8632
833,10.8731,-0.0307136,10.8731,10.8731
834,10.8843,-0.00497179,10.8843,10.8843
835,10.8939,0.0128902,10.8939,10.8939
836,10.9013,0.025572,10.9013,10.9013
837,10.9067,0.0348008,10.9067,10.9067
838,10.9103,0.0416622,10.9103,10.9104
839,10.9125,0.0468506,10.9125,10.9126
840,10.9135,0.0508233,10.9135,10.9136
841,10.9137,0.0538901,10.9137,10.9138
842,10.9132,0.0562671,10.9132,10.9133
843,10.9121,0.058109,10.9121,10.9123
844,10.9107,0.0595289,10.9107,10.9109
845,10.909,0.0606112,10.909,10.9091
846,10.9071,0.0614204,10.9071,10.9072
847,10.905,0.0620059,10.905,10.9052
848,10.903,0.0624068,10.903,10.9031
849,10.9009,0.0626539,10.9009,10.9011
850,10.8988,0.062772,10.8988,10.899
851,10.8969,0.0627812,10.8969,10.897
852,10.895,0.0626979,10.895,10.8952
853,10.8933,0.0625358,10.8933,10.8935
854,10.8917,0.0623061,10.8917,10.8919
855,10.8904,0.0620183,10.8904,10.8905
856,10.8892,0.0616803,10.8892,10.8893
857,10.8882,0.0612989,10.8882,10.8884
858,10.8875,0.0608798,10.8875,10.8876
859,10.8869,0.0604279,10.8869,10.8871
860,10.8867,0.0599475,10.8867,10.8868
861,10.8867,0.0594421,10.8867,10.8868
862,10.8869,0.0589149,10.8869,10.8871
863,10.8874,0.0583686,10.8874,10.8876
864,10.8882,0.0578056,10.8882,10.8884
865,10.8893,0.057228,10.8893,10.8894
866,10.8906,0.0566376,10.8906,10.8908
867,10.8922,0.0560359,10.8922,10.8924
868,10.8941,0.0554244,10.8941,10.8943
869,10.8964,0.0548042,10.8964,10.8965
870,10.8989,0.0541764,10.8989,10.899
871,10.9016,0.0535421,10.9016,10.9018
872,10.9047,0.0529019,10.9047,10.9049
873,10.9081,0.0522566,10.9081,10.9082
874,10.9118,0.051607,10.9118,10.9119
875,10.9158,0.0509534,10.9158,10.9159
876,10.9201,0.0502965,10.9201,10.9202
877,10.9247,0.0496367,10.9247,10.9248
878,10.9296,0.0489743,10.9296,10.9297
879,10.9348,0.0483098,10.9348,10.9349
