wavelength_nm,min_detuning_eV,near_mask,off_mask,abs_Im_over_Re,ratio_valid
621,0.1921217834571054,0,1,0.022146513620762542,1
622,0.18891193629637004,0,1,0.022425368208042539,1
623,0.18571239362090175,0,1,0.022711270410767179,1
624,0.18252310588990617,0,1,0.023004511081317566,1
625,0.17934402387964976,0,1,0.023305397980366075,1
626,0.17617509868092762,0,1,0.023614257058131957,1
627,0.1730162816965557,0,1,0.023931433856115923,1
628,0.16986752463888544,0,1,0.024257295042909608,1
629,0.16672877952734444,0,1,0.024592230099466882,1
630,0.16359999868599884,0,1,0.024936653171299384,1
631,0.16048113474113945,0,1,0.025291005107446179,1
632,0.15737214061889016,0,1,0.02565575570883729,1
633,0.15427296954284087,0,1,0.026031406211880499,1
634,0.1511835750317001,0,1,0.026418492036835692,1
635,0.14810391089697261,0,1,0.026817585834908616,1
636,0.14503393124065589,0,1,0.027229300873088242,1
637,0.14197359045296221,0,1,0.027654294801741499,1
638,0.13892284321005732,0,1,0.02809327385702453,1
639,0.13588164447182494,0,1,0.028546997558482105,1
640,0.13284994947964979,0,1,0.0290162839720591,1
641,0.12982771375422075,0,1,0.029502015620450312,1
642,0.12681489309335681,0,1,0.030005146136673759,1
643,0.12381144356985185,0,1,0.030526707773461285,1
644,0.12081732152933911,0,1,0.031067819901122635,1
645,0.11783248358817677,0,1,0.031629698650760735,1
646,0.11485688663135241,0,1,0.032213667889025834,1
647,0.111890487810407,0,1,0.032821171746267891,1
648,0.1089332445413782,0,1,0.033453788963524834,1
649,0.10598511450276216,0,1,0.034113249377287255,1
650,0.10304605563349578,0,1,0.034801452926982133,1
651,0.10011602613095549,0,1,0.035520491651983128,1
652,0.097194984448974786,0,0,0.036272675247019923,1
653,0.094282889295882466,0,0,0.037060560872865599,1
654,0.091379699632554878,0,0,0.03788698808068082,1
655,0.088485374670489447,0,0,0.038755119913439461,1
656,0.085599873869893539,0,0,0.039668491509965452,1
657,0.082723156937792863,0,0,0.04063106787452235,1
658,0.079855183826154308,0,0,0.041647312912517963,1
659,0.07699591473002898,0,0,0.042722272405036392,1
660,0.074145310085710348,0,0,0.043861674349272642,1
661,0.071303330568908363,0,0,0.04507205109555714,1
662,0.06846993709294269,0,0,0.046360889059754537,1
663,0.065645090806949913,0,0,0.047736813619324012,1
664,0.062828753094107626,0,0,0.04920981931157168,1
665,0.060020885569875171,0,0,0.05079155893783234,1
666,0.057221450080250369,0,0,0.052495710077970659,1
667,0.054430408700039568,0,0,0.054338444505721624,1
668,0.051647723731146788,0,0,0.056339036103327592,1
669,0.048873357700875308,0,0,0.058520657736254769,1
670,0.046107273360246781,0,0,0.060911439788648589,1
671,0.04334943368233235,0,0,0.063545896984404271,1
672,0.040599801860602192,0,0,0.066466882966646421,1
673,0.037858341307287047,0,0,0.069728316367132628,1
674,0.03512501565175663,0,0,0.073399059925282673,1
675,0.032399788738908919,0,0,0.077568566186294957,1
676,0.029682624627578758,0,0,0.082355306324749078,1
677,0.026973487588955569,0,0,0.087919724192123766,1
678,0.024272342105018385,1,0,0.094484817167313995,1
679,0.021579152866983975,1,0,0.10237010977300351,1
680,0.018893884773767411,1,0,0.11205027743328339,1
681,0.016216502930457288,1,0,0.12426164203603884,1
682,0.013546972646805155,1,0,0.14020739704510016,1
683,0.010885259435725825,1,0,0.16197969799128356,1
684,0.0082313290118134486,1,0,0.19348272917767598,1
685,0.0055851472898686971,1,0,0.24247996995335044,1
686,0.0029466803834397037,1,0,0.32410852616266245,1
687,0.00031589460337611008,1,0,0.45763056801177604,1
688,0.00034971203830624908,1,0,0.63441047805780337,1
689,4.3460070394241157e-05,1,0,0.81555443674910977,1
690,0.00025296900536053712,1,0,0.98421210167777895,1
691,0.00042083785065427648,1,0,1.1429765044793581,1
692,0.00013831924349227975,1,0,1.2973127550337031,1
693,0.00013430171457140538,1,0,1.451713810672205,1
