x[nm]                E_2[eV]              Psi^2_2_hh2[nm^-1/2]
17.05                1.3976942530798      1.399867582484
17.1                 1.3976942530798      1.399818217715
17.15                1.3976942530798      1.3997939957879
17.2                 1.3976942530798      1.3997943504654
17.25                1.3976942530798      1.399819290039
17.3                 1.3976942530798      1.3998693975221
17.35                1.3976942530798      1.3999458442797
17.4                 1.3976942530798      1.4000504174111
17.45                1.3976942530798      1.4001855615271
17.5                 1.3976942530798      1.4003544358978
17.55                1.3976942530798      1.4005596040882
17.6                 1.3976942530798      1.4008027309068
17.65                1.3976942530798      1.4010859431355
17.7                 1.3976942530798      1.4014115136885
17.75                1.3976942530798      1.401781749816
17.8                 1.3976942530798      1.402198875276
17.85                1.3976942530798      1.4026649049204
17.9                 1.3976942530798      1.4031815110552
17.95                1.3976942530798      1.4037498818442
18                   1.3976942530798      1.4043705729572
18.05                1.3976942530798      1.405043354614
18.1                 1.3976942530798      1.4057670571348
18.15                1.3976942530798      1.4065394190697
18.2                 1.3976942530798      1.4073569429003
18.25                1.3976942530798      1.4082147641662
18.3                 1.3976942530798      1.4091065406094
18.35                1.3976942530798      1.4100243685131
18.4                 1.3976942530798      1.4109587337737
18.45                1.3976942530798      1.4118985053344
18.5                 1.3976942530798      1.4128309783753
18.55                1.3976942530798      1.4137477672072
18.6                 1.3976942530798      1.4146445682981
18.65                1.3976942530798      1.4155162830452
18.7                 1.3976942530798      1.4163579554699
18.75                1.3976942530798      1.4171648003937
18.8                 1.3976942530798      1.4179322306437
18.85                1.3976942530798      1.4186558831321
18.9                 1.3976942530798      1.4193316436618
18.95                1.3976942530798      1.4199556703168
19                   1.3976942530798      1.4205244153048
19.05                1.3976942530798      1.4210346451277
19.1                 1.3976942530798      1.4214834589648
19.15                1.3976942530798      1.4218683051651
19.2                 1.3976942530798      1.4221869957542
19.25                1.3976942530798      1.4224377188735
19.3                 1.3976942530798      1.4226190490816
19.35                1.3976942530798      1.4227299554578
19.4                 1.3976942530798      1.4227698074637
19.45                1.3976942530798      1.4227383785278
19.5                 1.3976942530798      1.4226358473338
19.55                1.3976942530798      1.4224627968045
19.6                 1.3976942530798      1.4222202107878
19.65                1.3976942530798      1.4219094684632
19.7                 1.3976942530798      1.4215323365008
19.75                1.3976942530798      1.4210909590171
19.8                 1.3976942530798      1.420587845385
19.85                1.3976942530798      1.4200258559674
19.9                 1.3976942530798      1.4194081858548
19.95                1.3976942530798      1.4187383467005
20                   1.3976942530798      1.4180201467556
20.05                1.3976942530798      1.4172576692178
20.1                 1.3976942530798      1.416455249017
20.15                1.3976942530798      1.4156174481702
20.2                 1.3976942530798      1.4147490298447
20.25                1.3976942530798      1.4138549312779
20.3                 1.3976942530798      1.4129402357079
20.35                1.3976942530798      1.4120101434731
20.4                 1.3976942530798      1.411069942447
20.45                1.3976942530798      1.4101237451674
20.5                 1.3976942530798      1.4091792279068
20.55                1.3976942530798      1.4082481201041
20.6                 1.3976942530798      1.4073405292748
20.65                1.3976942530798      1.4064649238282
20.7                 1.3976942530798      1.4056281618856
20.75                1.3976942530798      1.4048355584319
20.8                 1.3976942530798      1.4040909830303
20.85                1.3976942530798      1.4033969805317
20.9                 1.3976942530798      1.4027549076566
20.95                1.3976942530798      1.4021650789517
21.002630398234      1.3976942530798      1.401600064329
21.058029574601      1.3976942530798      1.4010654858647
21.116343188881      1.3976942530798      1.4005665079799
21.177724563722      1.3976942530798      1.4001076047404
21.242335087763      1.3976942530798      1.3996923365693
21.310344639971      1.3976942530798      1.3993231556648
21.3819320363        1.3976942530798      1.3990012610629
21.457285499847      1.3976942530798      1.3987269774859
21.536603155744      1.3976942530798      1.3984990158266
21.620093552081      1.3976942530798      1.3983119000074
21.707976208241      1.3976942530798      1.3981603192328
21.800482192072      1.3976942530798      1.3980392236176
21.897854727434      1.3976942530798      1.3979439050556
22.000349833698      1.3976942530798      1.3978700614247
22.108236998893      1.3976942530798      1.3978138435684
22.221799888265      1.3976942530798      1.3977718861631
22.34133709011       1.3976942530798      1.3977413257198
22.467162900849      1.3976942530798      1.3977198119092
22.599608151396      1.3976942530798      1.3977055229418
22.739021077007      1.3976942530798      1.3976972035568
22.885768232885      1.3976942530798      1.3976942588974
