mode,context,wavelength_nm,entry,group,real_pm_per_V,imag_pm_per_V,abs_pm_per_V
23C,1550_nm,1550.0,V_m1_n2_l2,heavy_hole_side_signed,2.0543591625744453,-0.26662662785386293,2.0715890826933556
23C,1550_nm,1550.0,C_m2_n1_l1,electron_side,0.005543363157507097,-0.16396746770170556,0.1640611451246329
23C,1550_nm,1550.0,C_m2_n1_l2,electron_side,0.01468055914413342,-0.28877869105815984,0.28915160595446904
23C,1550_nm,1550.0,V_m2_n1_l1,heavy_hole_side_signed,-0.04225297262517851,1.2143161440765695,1.215051032451169
23C,1550_nm,1550.0,V_m2_n1_l2,heavy_hole_side_signed,-0.005545810699476195,0.16403986369081267,0.1641335824748087
23C,1550_nm,1550.0,C_m2_n2_l1,electron_side,0.2023050858456594,-0.013212887259178388,0.20273610469954131
23C,1550_nm,1550.0,C_m2_n2_l2,electron_side,80.20424640435886,-5.146768280059353,80.3692127933311
23C,1550_nm,1550.0,V_m2_n2_l1,heavy_hole_side_signed,1.3826695632675068,-0.08902539310473197,1.385532620259736
23C,1550_nm,1550.0,V_m2_n2_l2,heavy_hole_side_signed,-54.71310841794559,3.5109823174353374,54.82564390490286
23C,1550_nm,1550.0,electron_side_subtotal,subtotal,-16.825904861799955,-733.8885444849037,734.081403388336
23C,1550_nm,1550.0,heavy_hole_side_subtotal_signed,subtotal,43.51982644717438,734.6155458113335,735.9035096000532
23C,1550_nm,1550.0,final_electron_minus_heavy_hole,final,26.693921585374408,0.7270013264298175,26.703819586994452
23C,mode_spectral_peak,1503.0,C_m1_n1_l1,electron_side,-427.3956019860041,-682.7830308586155,805.5182603923116
23C,mode_spectral_peak,1503.0,C_m1_n1_l2,electron_side,2.533100325663799,4.167140733400557,4.876644251105895
23C,mode_spectral_peak,1503.0,V_m1_n1_l1,heavy_hole_side_signed,424.9391200869276,678.8586943691731,800.8884957975553
23C,mode_spectral_peak,1503.0,V_m1_n1_l2,heavy_hole_side_signed,0.7287819429504385,1.1638170919744748,1.3731690878921428
23C,mode_spectral_peak,1503.0,C_m1_n2_l1,electron_side,-2.7035882689728714,5.631906329366338,6.247220056223756
23C,mode_spectral_peak,1503.0,C_m1_n2_l2,electron_side,3.7446205486595745,-7.5022338904704435,8.384849217533182
23C,mode_spectral_peak,1503.0,V_m1_n2_l1,heavy_hole_side_signed,-2.53867319740704,5.086154885635521,5.684525760686371
23C,mode_spectral_peak,1503.0,V_m1_n2_l2,heavy_hole_side_signed,1.2880751549494396,-2.5686008361219197,2.8734731354450225
23C,mode_spectral_peak,1503.0,C_m2_n1_l1,electron_side,-0.04937301407798789,-0.1640224425813765,0.1712923121144266
23C,mode_spectral_peak,1503.0,C_m2_n1_l2,electron_side,-0.08275363769708097,-0.29173642905799,0.3032462837226656
23C,mode_spectral_peak,1503.0,V_m2_n1_l1,heavy_hole_side_signed,0.3658485153568334,1.2191922821196453,1.2729002148514659
23C,mode_spectral_peak,1503.0,V_m2_n1_l2,heavy_hole_side_signed,0.04939481357418966,0.16409486284335226,0.1713679422167622
23C,mode_spectral_peak,1503.0,C_m2_n2_l1,electron_side,0.5039180826638173,-0.388817916556112,0.6364847258737742
23C,mode_spectral_peak,1503.0,C_m2_n2_l2,electron_side,198.20035792289278,-150.8287159070887,249.06361320543007
23C,mode_spectral_peak,1503.0,V_m2_n2_l1,heavy_hole_side_signed,3.417640043007111,-2.6182024082622455,4.305258100764212
23C,mode_spectral_peak,1503.0,V_m2_n2_l2,heavy_hole_side_signed,-135.20677716786716,102.89115920819341,169.90427668345222
23C,mode_spectral_peak,1503.0,electron_side_subtotal,subtotal,-225.2493200268721,-832.1595103816032,862.1059719611725
23C,mode_spectral_peak,1503.0,heavy_hole_side_subtotal_signed,subtotal,293.0434101914914,784.1963094555554,837.1608519396806
23C,mode_spectral_peak,1503.0,final_electron_minus_heavy_hole,final,67.79409016461928,-47.963200926047726,83.04521241059568
23D,1550_nm,1550.0,C_m1_n1_l1,electron_side,-80.03984058616923,-752.7966997211493,757.039792343912
23D,1550_nm,1550.0,C_m1_n1_l2,electron_side,0.4116235319930844,4.549134723035547,4.567719415684173
23D,1550_nm,1550.0,V_m1_n1_l1,heavy_hole_side_signed,79.57980679384355,748.4699554637057,752.6886606567068
23D,1550_nm,1550.0,V_m1_n1_l2,heavy_hole_side_signed,0.13859338507576857,1.285983055207094,1.2934297602369185
23D,1550_nm,1550.0,C_m1_n2_l1,electron_side,-4.429653992461511,0.5807438174074722,4.46756061787495
23D,1550_nm,1550.0,C_m1_n2_l2,electron_side,5.960758898700268,-0.7692412717880421,6.0101895795936855
