k_per_nm,DeltaE_11,DeltaE_12,DeltaE_21,DeltaE_22
0.24636673472630347,1.548515619535815,1.583529639733815,1.6683803396058152,1.7033943598038153
0.248219116190411,1.5493482556748333,1.5843622758728333,1.6692129757448335,1.7042269959428336
0.2500714976545186,1.5501871287886757,1.5852011489866757,1.670051848858676,1.705065869056676
0.2519238791186261,1.5510322388773419,1.586046259075342,1.6708969589473421,1.7059109791453422
0.25377626058273367,1.5518835859408326,1.5868976061388327,1.671748306010833,1.706762326208833
0.2556286420468412,1.5527411699791476,1.5877551901771476,1.6726058900491478,1.7076199102471479
0.25748102351094876,1.5536049909922862,1.5886190111902863,1.6734697110622865,1.7084837312602865
0.2593334049750563,1.554475048980249,1.589489069178249,1.6743397690502493,1.7093537892482493
0.26118578643916385,1.555351343943036,1.590365364141036,1.6752160640130362,1.7102300842110363
0.2630381679032714,1.5562338758806475,1.5912478960786476,1.6760985959506478,1.7111126161486478
0.26489054936737894,1.5571226447930828,1.5921366649910829,1.6769873648630826,1.7120013850610827
0.2667429308314865,1.5580176506803418,1.5930316708783419,1.677882370750342,1.7128963909483421
0.268595312295594,1.5589188935424254,1.5939329137404254,1.6787836136124257,1.7137976338104257
0.27044769375970157,1.5598263733793332,1.5948403935773332,1.6796910934493334,1.7147051136473335
0.2723000752238091,1.5607400901910646,1.5957541103890647,1.680604810261065,1.715618830459065
0.27415245668791666,1.5616600439776203,1.5966740641756203,1.6815247640476205,1.7165387842456206
0.2760048381520242,1.5625862347390005,1.5976002549370005,1.6824509548090008,1.7174649750070008
0.27785721961613175,1.5635186624752044,1.5985326826732045,1.6833833825452047,1.7183974027432047
0.2797096010802393,1.5644573271862325,1.5994713473842326,1.6843220472562328,1.7193360674542328
0.28156198254434683,1.5654022288720848,1.6004162490700848,1.685266948942085,1.720280969140085
0.2834143640084544,1.5663533675327612,1.6013673877307613,1.6862180876027615,1.7212321078007615
0.2852667454725619,1.5673107431682614,1.6023247633662614,1.6871754632382616,1.7221894834362617
0.28711912693666947,1.568274355778586,1.6032883759765861,1.6881390758485864,1.7231530960465864
0.288971508400777,1.5692442053637345,1.6042582255617346,1.6891089254337348,1.7241229456317348
0.29082388986488455,1.5702202919237076,1.6052343121217076,1.6900850119937079,1.725099032191708
0.2926762713289921,1.5712026154585044,1.6062166356565044,1.6910673355285046,1.7260813557265047
0.29452865279309964,1.5721911759681253,1.6072051961661253,1.6920558960381256,1.7270699162361256
0.2963810342572072,1.5731859734525704,1.6081999936505704,1.6930506935225706,1.7280647137205707
0.29823341572131473,1.5741870079118396,1.6092010281098397,1.69405172798184,1.72906574817984
0.3000857971854223,1.575194279345933,1.610208299543933,1.6950589994159333,1.7300730196139333
0.3019381786495298,1.5762077877548502,1.6112218079528502,1.6960725078248504,1.7310865280228505
0.30379056011363736,1.5772275331385919,1.612241553336592,1.6970922532085921,1.7321062734065922
0.3056429415777449,1.5782535154971573,1.6132675356951574,1.6981182355671576,1.7331322557651576
0.30749532304185245,1.579285734830547,1.614299755028547,1.6991504549005472,1.7341644750985472
0.30934770450596,1.580324191138761,1.6153382113367611,1.7001889112087614,1.7352029314067614
0.31120008597006754,1.581368884421799,1.616382904619799,1.7012336044917993,1.7362476246897993
0.3130524674341751,1.582419814679661,1.6174338348776611,1.7022845347496613,1.7372985549476614
0.31490484889828263,1.5834769819123469,1.618491002110347,1.7033417019823471,1.7383557221803472
0.3167572303623902,1.5845403861198573,1.6195544063178573,1.7044051061898575,1.7394191263878576
0.3186096118264977,1.5856100273021918,1.6206240475001918,1.705474747372192,1.740488767570192
0.32046199329060526,1.58668590545935,1.62169992565735,1.7065506255293503,1.7415646457273504
0.3223143747547128,1.587768020591333,1.622782040789333,1.7076327406613332,1.7426467608593332
0.32416675621882035,1.5888563726981395,1.6238703928961395,1.7087210927681398,1.7437351129661398
0.3260191376829279,1.5899509617797702,1.6249649819777703,1.7098156818497705,1.7448297020477705
0.32787151914703544,1.5910517878362251,1.6260658080342252,1.7109165079062254,1.7459305281042254
0.329723900611143,1.5921588508675042,1.6271728710655042,1.7120235709375045,1.7470375911355045
0.33157628207525053,1.5932721508736074,1.6282861710716074,1.7131368709436077,1.7481508911416077
0.33342866353935807,1.5943916878545343,1.6294057080525344,1.7142564079245346,1.7492704281225346
0.3352810450034656,1.5955174618102859,1.630531482008286,1.7153821818802861,1.7503962020782862
0.33713342646757316,1.596649472740861,1.6316634929388611,1.7165141928108614,1.7515282130088614
0.3389858079316807,1.5977877206462605,1.6328017408442606,1.7176524407162608,1.7526664609142608
0.34083818939578825,1.5989322055264845,1.6339462257244846,1.7187969255964848,1.7538109457944848
0.3426905708598958,1.6000829273815322,1.6350969475795323,1.7199476474515325,1.7549616676495325
0.34454295232400334,1.6012398862114041,1.6362539064094042,1.7211046062814044,1.7561186264794044
0.3463953337881109,1.6024030820161002,1.6374171022141002,1.7222678020861004,1.7572818222841005
