wavelength_nm,production,radial_kdk,bare_2pi_kdk,equal_points,k0_only
647.0,0.08193220702064552,0.08193220702064564,0.08193220702064574,0.03215845576769233,0.006843673129480995
648.0,0.0836704379539017,0.08367043795390222,0.0836704379539021,0.03276990020729552,0.006939764236653019
649.0,0.08547278167440897,0.08547278167440935,0.08547278167440947,0.033401427105415056,0.007037837815995062
650.0,0.0873430146187818,0.08734301461878223,0.08734301461878217,0.03405411544568279,0.007137952707081068
651.0,0.08928523304529176,0.0892852330452924,0.08928523304529258,0.034729130021352715,0.007240170081204106
652.0,0.09130388923841981,0.09130388923842048,0.09130388923842059,0.03542773077344529,0.007344553557741212
653.0,0.09340383292674267,0.09340383292674323,0.0934038329267437,0.03615128344227029,0.0074511693275484394
654.0,0.09559035883613665,0.0955903588361374,0.09559035883613733,0.036901271761447835,0.007560086283886372
655.0,0.09786926149543446,0.09786926149543512,0.09786926149543494,0.037679311471641316,0.007671376161416924
656.0,0.10024689865536968,0.10024689865537012,0.10024689865536945,0.038487166491262464,0.007785113683857822
657.0,0.10273026498777126,0.10273026498777184,0.10273026498777149,0.039326767656731286,0.007901376720930196
658.0,0.10532707811910794,0.10532707811910878,0.10532707811910882,0.040200234540089856,0.008020246455287709
659.0,0.10804587954541835,0.10804587954541922,0.10804587954541875,0.041109900972877436,0.008141807560175945
660.0,0.11089615360795996,0.1108961536079605,0.11089615360796072,0.042058345060436986,0.008266148388634292
661.0,0.11388846852625752,0.11388846852625827,0.11388846852625815,0.043048424671374125,0.008393361175124552
662.0,0.1170346445505734,0.117034644550574,0.11703464455057387,0.044083319648125646,0.008523542250547864
663.0,0.12034795569659329,0.12034795569659423,0.120347955696594,0.0451665823278771,0.008656792271698278
664.0,0.12384337338426205,0.12384337338426306,0.12384337338426243,0.046302198418426324,0.008793216466295647
665.0,0.12753786279486085,0.12753786279486148,0.12753786279486154,0.04749466088365434,0.00893292489484509
666.0,0.13145074613695887,0.13145074613695973,0.13145074613695953,0.04874906031940123,0.009076032730685636
667.0,0.13560415163889403,0.13560415163889464,0.1356041516388948,0.05007119643204618,0.009222660559718347
668.0,0.14002357350392494,0.14002357350392544,0.1400235735039247,0.05146771680086594,0.009372934701445339
669.0,0.1447385770848444,0.1447385770848454,0.14473857708484564,0.05294629130876396,0.009526987553106688
670.0,0.14978369639143216,0.14978369639143294,0.14978369639143313,0.05451583376448649,0.009684957958877123
671.0,0.15519958964516042,0.15519958964516165,0.15519958964516106,0.056186786776689326,0.009846991606275007
672.0,0.16103454594374622,0.16103454594374644,0.1610345459437467,0.05797149260430317,0.010013241452151473
673.0,0.16734647700151004,0.16734647700151078,0.16734647700151026,0.0598846826608752,0.010183868180865467
674.0,0.17420559022809007,0.17420559022809098,0.17420559022809146,0.06194413347940665,0.010359040697515568
675.0,0.18169803609836532,0.1816980360983663,0.18169803609836618,0.06417156035651493,0.01053893665939607
