observable,normalized_RMSE,correlation,phase_deg,status
abs_Re,0.23804247338815426,0.4005459049218497,141,DIAGNOSTIC ONLY
Re,0.4378314123320191,-0.3015429770433292,142,DIAGNOSTIC ONLY
abs_Re,0.23720706828487215,0.403211103623409,142,DIAGNOSTIC ONLY
Re,0.4374661859061243,-0.3049885235353597,143,DIAGNOSTIC ONLY
abs_Re,0.23641500042842137,0.4056510853078889,143,DIAGNOSTIC ONLY
Re,0.43713128022535813,-0.30834642514981236,144,DIAGNOSTIC ONLY
abs_Re,0.23566736387904538,0.40785500957197934,144,DIAGNOSTIC ONLY
Re,0.43682644350136285,-0.31161578172834653,145,DIAGNOSTIC ONLY
abs_Re,0.23496547735336332,0.40980664839118336,145,DIAGNOSTIC ONLY
Re,0.4365514912530292,-0.3147957061546979,146,DIAGNOSTIC ONLY
abs_Re,0.23430365291304428,0.4115020315077703,146,DIAGNOSTIC ONLY
Re,0.4363063058390068,-0.3178853243404397,147,DIAGNOSTIC ONLY
abs_Re,0.23368375436399014,0.41294246859392525,147,DIAGNOSTIC ONLY
Re,0.4360908363004884,-0.3208837752397519,148,DIAGNOSTIC ONLY
abs_Re,0.2331091538206705,0.41411945139994566,148,DIAGNOSTIC ONLY
Re,0.4359050985139997,-0.3237902108938101,149,DIAGNOSTIC ONLY
abs_Re,0.23257181868307797,0.4150320620546657,149,DIAGNOSTIC ONLY
Re,0.43574917565635896,-0.32660379650536225,150,DIAGNOSTIC ONLY
abs_Re,0.23207769294508954,0.41567162148492626,150,DIAGNOSTIC ONLY
Re,0.4356232189864211,-0.32932371054399445,151,DIAGNOSTIC ONLY
abs_Re,0.2316243109873864,0.4160357906133755,151,DIAGNOSTIC ONLY
Re,0.4355274489507341,-0.3319491448825214,152,DIAGNOSTIC ONLY
abs_Re,0.23120987070347845,0.4161224361588003,152,DIAGNOSTIC ONLY
Re,0.43536203172455473,-0.33447930496487754,153,DIAGNOSTIC ONLY
abs_Re,0.2308668214767949,0.41592572080074436,153,DIAGNOSTIC ONLY
Re,0.435155780524978,-0.33691341000581687,154,DIAGNOSTIC ONLY
abs_Re,0.2305812771762909,0.4154485083308688,154,DIAGNOSTIC ONLY
Re,0.43497981665871105,-0.3392506932226616,155,DIAGNOSTIC ONLY
abs_Re,0.23033956150969642,0.4146828857341613,155,DIAGNOSTIC ONLY
Re,0.43483433885564254,-0.34149040209926684,156,DIAGNOSTIC ONLY
abs_Re,0.23013418761395749,0.4136346946383251,156,DIAGNOSTIC ONLY
Re,0.43471961715934826,-0.34363179868230265,157,DIAGNOSTIC ONLY
abs_Re,0.22997035873212002,0.4122913638461962,157,DIAGNOSTIC ONLY
Re,0.43463599468279096,-0.3456741599098772,158,DIAGNOSTIC ONLY
abs_Re,0.22984259033181387,0.41066313967758183,158,DIAGNOSTIC ONLY
Re,0.43458388972835477,-0.3476167779724476,159,DIAGNOSTIC ONLY
abs_Re,0.22975716637741153,0.40874670281712394,159,DIAGNOSTIC ONLY
Re,0.4345637982905288,-0.3494589607058883,160,DIAGNOSTIC ONLY
abs_Re,0.2297087770484818,0.40654542043551034,160,DIAGNOSTIC ONLY
Re,0.43457629696286065,-0.351200032016512,161,DIAGNOSTIC ONLY
