photon_energy_eV,chi2_real_pm_per_V,chi2_imag_pm_per_V,chi2_abs_real_pm_per_V,chi2_abs_pm_per_V,KK_real_pm_per_V,KK_imag_pm_per_V
-3.191000000000000014e+01,1.106123860949766863e-03,-2.487638327924784562e-07,1.106123860949766863e-03,1.106123888922874634e-03,1.222060952785191746e-03,1.679889864844280123e-03
-3.190899999999999892e+01,1.106190490614190718e-03,-2.487862789230814093e-07,1.106190490614190718e-03,1.106190518590661467e-03,1.222130199262304448e-03,1.672669142417085395e-03
-3.190800000000000125e+01,1.106257126299530977e-03,-2.488087277543564821e-07,1.106257126299530977e-03,1.106257154279365355e-03,1.222191699214383517e-03,1.672373143777479724e-03
-3.190700000000000003e+01,1.106323768006484132e-03,-2.488311792867084507e-07,1.106323768006484132e-03,1.106323795989682572e-03,1.222260994983694147e-03,1.665317510927501188e-03
-3.190599999999999881e+01,1.106390415735760985e-03,-2.488536335205456908e-07,1.106390415735760985e-03,1.106390443722324139e-03,1.222322506621009979e-03,1.665021054408439595e-03
-3.190500000000000114e+01,1.106457069488122648e-03,-2.488760904562706489e-07,1.106457069488122648e-03,1.106457097478050731e-03,1.222391850120545329e-03,1.658123551932873165e-03
-3.190399999999999991e+01,1.106523729264276886e-03,-2.488985500942960418e-07,1.106523729264276886e-03,1.106523757257570550e-03,1.222453373454301636e-03,1.657826646979910449e-03
-3.190299999999999869e+01,1.106590395064949682e-03,-2.489210124350228337e-07,1.106590395064949682e-03,1.106590423061609577e-03,1.222522763226182099e-03,1.651080746336644478e-03
-3.190200000000000102e+01,1.106657066890857910e-03,-2.489434774788550594e-07,1.106657066890857910e-03,1.106657094890884470e-03,1.222584298257833879e-03,1.650783402000976629e-03
-3.190099999999999980e+01,1.106723744742750537e-03,-2.489659452262103061e-07,1.106723744742750537e-03,1.106723772746143978e-03,1.222653732933340299e-03,1.644182970498620161e-03
-3.189999999999999858e+01,1.106790428621338800e-03,-2.489884156774842440e-07,1.106790428621338800e-03,1.106790456628099989e-03,1.222715279668617561e-03,1.643885195467121099e-03
-3.189900000000000091e+01,1.106857118527353450e-03,-2.490108888330886371e-07,1.106857118527353450e-03,1.106857146537482822e-03,1.222784757953841814e-03,1.637424464902652354e-03
-3.189799999999999969e+01,1.106923814461517434e-03,-2.490333646934287906e-07,1.106923814461517434e-03,1.106923842475015423e-03,1.222846316403454524e-03,1.637126267517330369e-03
-3.189699999999999847e+01,1.106990516424557602e-03,-2.490558432589156214e-07,1.106990516424557602e-03,1.106990544441424857e-03,1.222915837083546125e-03,1.630799805857658866e-03
-3.189600000000000080e+01,1.107057224417202970e-03,-2.490783245299478702e-07,1.107057224417202970e-03,1.107057252437439708e-03,1.222977407248366415e-03,1.630501194131234871e-03
-3.189499999999999957e+01,1.107123938440175183e-03,-2.491008085069431242e-07,1.107123938440175183e-03,1.107123966463782272e-03,1.223046969182086134e-03,1.624303879904861331e-03
-3.189399999999999835e+01,1.107190658494211933e-03,-2.491232951903018184e-07,1.107190658494211933e-03,1.107190686521189590e-03,1.223108551068800929e-03,1.624004861542411920e-03
-3.189300000000000068e+01,1.107257384580029227e-03,-2.491457845804289403e-07,1.107257384580029227e-03,1.107257412610377885e-03,1.223178153170198425e-03,1.617931860601548762e-03
-3.189199999999999946e+01,1.107324116698355648e-03,-2.491682766777398537e-07,1.107324116698355648e-03,1.107324144732076176e-03,1.223239746784597799e-03,1.617632443023855806e-03
-3.189099999999999824e+01,1.107390854849928021e-03,-2.491907714826353111e-07,1.107390854849928021e-03,1.107390882887020634e-03,1.223309388041529796e-03,1.611679187452306908e-03
-3.189000000000000057e+01,1.107457599035465388e-03,-2.492132689955241118e-07,1.107457599035465388e-03,1.107457627075930737e-03,1.223370993386022195e-03,1.611379377805115341e-03
