wavelength_nm,k_per_nm,k_fraction_pi_over_a,Re_cumulative,Im_cumulative,Re_shell_ending_here,Im_shell_ending_here
540,0.21858101276458999,0.039333333333315283,0.20385004716181582,0.0019569686598360299,0.0035091462561839927,3.4163107200574939e-05
540,0.22043339422868999,0.039666666666647261,0.20739179000815944,0.0019914680437026554,0.0035417428463436216,3.4499383866625264e-05
540,0.2222857756928,0.039999999999981037,0.21096621354398387,0.002026305132132521,0.003574423535824441,3.4837088429865873e-05
540,0.22413815715690999,0.040333333333314805,0.21457340306596395,0.0020614813747750174,0.0036071895219800774,3.5176242642496587e-05
540,0.22599053862101001,0.040666666666646797,0.21821344507360221,0.0020969982431868384,0.0036400420076382702,3.5516868411821074e-05
540,0.22784292008512,0.040999999999980566,0.22188642727437016,0.0021328572309828411,0.0036729822007679621,3.5858987796002825e-05
540,0.22969530154923001,0.041333333333314341,0.22559243858832709,0.0021690598539807321,0.003706011313956922,3.6202622997891221e-05
540,0.23154768301333001,0.04166666666664632,0.22933156915255654,0.0022056076503428096,0.0037391305642294446,3.6547796362077405e-05
540,0.23340006447743999,0.041999999999980088,0.23310391032523747,0.0022425021807128808,0.0037723411726809249,3.6894530370071045e-05
540,0.23525244594155001,0.04233333333331387,0.23690955468915409,0.0022797450283463679,0.003805644363916616,3.7242847633487034e-05
540,0.23710482740565,0.042666666666645842,0.24074859605499863,0.0023173377992369822,0.0038390413658445414,3.7592770890614427e-05
540,0.23895720886975999,0.04299999999997961,0.24462112946428002,0.0023552821222380563,0.0038725334092813983,3.7944323001074266e-05
540,0.24080959033387001,0.043333333333313392,0.24852725119163904,0.0023935796491765054,0.0039061217273590292,3.8297526938449169e-05
540,0.24266197179797,0.043666666666645364,0.25246705874693598,0.0024322320549629321,0.00393980755529691,3.8652405786426781e-05
540,0.24451435326207999,0.043999999999979146,0.25644065087692069,0.0024712410376959409,0.0039735921299847363,3.9008982733008682e-05
540,0.24636673472619,0.044333333333312915,0.26044812756628433,0.0025106083187586233,0.0040074766893636316,3.9367281062682518e-05
540,0.24821911619029,0.044666666666644893,0.2644895900384705,0.002550335642910879,0.0040414624721861591,3.9727324152255623e-05
540,0.25007149765440001,0.044999999999978668,0.26856514075605253,0.0025904247783755836,0.0040755507175820084,4.0089135464704689e-05
540,0.25192387911851,0.045333333333312437,0.2726748834204718,0.0026308775169165488,0.0041097426644192874,4.0452738540965375e-05
540,0.25377626058260999,0.045666666666644415,0.27681892297153099,0.0026716956739121019,0.0041440395510591917,4.0818156995552898e-05
540,0.25562864204671998,0.04599999999997819,0.2809973655864435,0.0027128810884222768,0.0041784426149125307,4.1185414510174753e-05
540,0.25748102351083002,0.046333333333311966,0.2852103186782371,0.0027544356232475958,0.0042129530917936042,4.1554534825319091e-05
540,0.25933340497493002,0.046666666666643951,0.28945789089391016,0.0027963611649833194,0.0042475722156730625,4.1925541735723652e-05
540,0.26118578643904,0.046999999999977719,0.29374019211214891,0.00283865962406726,0.0042823012182387635,4.2298459083940534e-05
540,0.26303816790314999,0.047333333333311495,0.29805733344039653,0.002881332934819081,0.0043171413282476062,4.2673310751820959e-05
540,0.26489054936724998,0.047666666666643473,0.30240942721168979,0.0029243830554751592,0.0043520937712932407,4.3050120656078285e-05
540,0.26674293083136003,0.047999999999977248,0.30679658698107015,0.0029678119682171262,0.0043871597693803518,4.3428912741967061e-05
540,0.26859531229547001,0.048333333333311024,0.31121892752135805,0.0030116216791919899,0.0044223405402878772,4.3809710974863611e-05
540,0.27044769375957001,0.048666666666643002,0.31567656481872475,0.0030558142185281609,0.0044576372973666994,4.4192539336171108e-05
540,0.27230007522367999,0.04899999999997677,0.3201696160678647,0.0031003916403454781,0.0044930512491399332,4.4577421817317177e-05
540,0.27415245668778998,0.049333333333310546,0.32469819966656027,0.0031453560227572,0.0045285835986955437,4.4964382411721652e-05
540,0.27600483815188998,0.049666666666642517,0.32926243521008858,0.0031907094678684943,0.0045642355435283003,4.5353445111294473e-05
540,0.27785721961600002,0.049999999999976293,0.33386244348527411,0.0032364541017695526,0.0046000082751855402,4.5744633901058355e-05
540,0.27970960108011,0.050333333333310075,0.33849834646397919,0.0032825920745213413,0.00463590297870509,4.6137972751788695e-05
540,0.28156198254421,0.050666666666642046,0.3431702672965013,0.0033291255601387761,0.0046719208325221254,4.6533485617434926e-05
540,0.28341436400831999,0.050999999999975822,0.34787833030467857,0.003376056756569453,0.0047080630081772499,4.6931196430676827e-05
540,0.28526674547242997,0.05133333333330959,0.35262266097449935,0.0034233878856660335,0.0047443306698207654,4.733112909658047e-05
540,0.28711912693653002,0.051666666666641575,0.3574033859486988,0.0034711211931572595,0.0047807249741994321,4.7733307491226056e-05
540,0.28897150840064001,0.051999999999975351,0.36222063301914481,0.0035192589486157792,0.0048172470704460164,4.8137755458519794e-05
540,0.29082388986475,0.052333333333309119,0.36707453111881294,0.0035678034454209731,0.0048538980996681112,4.8544496805193916e-05
540,0.29267627132884999,0.052666666666641097,0.37196521031384472,0.0036167570007219212,0.0048906791950318008,4.895355530094801e-05
540,0.29452865279295998,0.052999999999974873,0.376892801795494,0.0036661219553987346,0.0049275914816492754,4.9364954676813186e-05
540,0.29638103425707002,0.053333333333308655,0.38185743787175497,0.0037159006740204196,0.0049646360762609625,4.9778718621685037e-05
540,0.29823341572117001,0.053666666666640633,0.38685925195918414,0.0037660955448046316,0.005001814087429164,5.0194870784212221e-05
540,0.30008579718528,0.053999999999974402,0.39189837857472104,0.0038167089795776037,0.005039126615536931,5.0613434772972119e-05
540,0.30193817864938999,0.054333333333308177,0.39697495332729088,0.0038677434137322788,0.0050765747525698445,5.1034434154675196e-05
540,0.30379056011348998,0.054666666666640149,0.40208911290971699,0.0039192013061902196,0.0051141595824261169,5.1457892457941091e-05
540,0.30564294157760002,0.054999999999973938,0.40724099509074174,0.0039710851393655235,0.0051518821810247481,5.1883833175304144e-05
540,0.30749532304171001,0.055333333333307706,0.41243073870693442,0.0040233974191287341,0.005189743616192696,5.2312279763210336e-05
540,0.30934770450581001,0.055666666666639678,0.41765848365502412,0.0040761406747764298,0.0052277449480897216,5.2743255647695755e-05
540,0.31120008596991999,0.055999999999973446,0.42292437088444484,0.0041293174590046047,0.0052658872294207362,5.3176784228174974e-05
540,0.31305246743402998,0.056333333333307221,0.42822854238986413,0.0041829303478837163,0.0053041715054193026,5.3612888879111911e-05
540,0.31490484889812997,0.0566666666666392,0.43357114120424173,0.0042369819408412113,0.0053425988143775823,5.4051592957495125e-05
540,0.31675723036224002,0.056999999999972982,0.43895231139219604,0.0042914748606494944,0.005381170187954306,5.4492919808282687e-05
540,0.31860961182635,0.05733333333330675,0.44437219804343919,0.0043464117534171096,0.0054198866512431814,5.4936892767614952e-05
540,0.32046199329045,0.057666666666638729,0.44983094726682943,0.0044017952885889097,0.0054587492233902557,5.538353517179993e-05
540,0.32231437475455998,0.057999999999972504,0.4553287061848067,0.0044576281589530416,0.0054977589179772647,5.5832870364131797e-05
540,0.32416675621867003,0.058333333333306286,0.46086562292796823,0.0045139130806524739,0.0055369167431615542,5.6284921699431891e-05
540,0.32601913768277002,0.058666666666638265,0.46644184663032845,0.0045706527932067326,0.0055762237023601977,5.6739712554258795e-05
540,0.32787151914688001,0.058999999999972033,0.47205752742502194,0.0046278500595415715,0.0056156807946934903,5.7197266334839228e-05
540,0.32972390061099,0.059333333333305809,0.47771281644018831,0.0046855076660240582,0.005655289015166402,5.7657606482486336e-05
540,0.33157628207508999,0.059666666666637773,0.4834078657955958,0.0047436284225088879,0.0056950493554074801,5.8120756484829557e-05
540,0.33342866353919998,0.059999999999971548,0.4891428285997404,0.0048022151623933326,0.005734962804144577,5.8586739884444461e-05
540,0.33528104500331002,0.060333333333305338,0.49491785894715484,0.0048612707426782462,0.0057750303474144544,5.9055580284913629e-05
540,0.33713342646741001,0.060666666666637309,0.50073311191648417,0.0049207980440409043,0.0058152529693292834,5.952730136265794e-05
540,0.33898580793152,0.060999999999971077,0.5065887435690577,0.0049807999709169755,0.0058556316525735178,6.0001926876071131e-05
540,0.34083818939562999,0.061333333333304853,0.51248491094767368,0.0050412794515888029,0.0058961673786159536,6.0479480671827117e-05
540,0.34269057085972998,0.061666666666636831,0.51842177207616125,0.0051022394382858275,0.0059368611284875234,6.0959986697024816e-05
540,0.34454295232384002,0.061999999999970613,0.52439948595944319,0.0051636829072943969,0.0059777138832819389,6.1443469008569464e-05
540,0.34639533378795001,0.062333333333304382,0.53041821258379851,0.0052256128590738599,0.0060187266243553203,6.1929951779462992e-05
540,0.34824771525205001,0.062666666666636367,0.53647811291790426,0.0052880323183849779,0.0060599003341057864,6.2419459311117853e-05
540,0.35010009671615999,0.062999999999970135,0.54257934891436244,0.0053509443344276295,0.0061012359964581521,6.2912016042652013e-05
540,0.35195247818026998,0.063333333333303904,0.5487220835114055,0.005414351980984655,0.0061427345970430655,6.3407646557025622e-05
540,0.35380485964436997,0.063666666666635882,0.5549064806353684,0.0054782583565779362,0.0061843971239629141,6.3906375593280918e-05
540,0.35565724110848002,0.063999999999969664,0.56113270520362557,0.0055426665846336071,0.00622622456825712,6.4408228055671201e-05
540,0.35750962257259,0.064333333333303433,0.56740092312767609,0.0056075798136531003,0.006268217924050478,6.4913229019493331e-05
540,0.35936200403669,0.064666666666635411,0.57371130131697601,0.0056730012173962334,0.0063103781892999162,6.5421403743132943e-05
540,0.36121438550079998,0.064999999999969194,0.58006400768320987,0.0057389339950731765,0.0063527063662338259,6.5932777676943436e-05
540,0.36306676696491003,0.065333333333302962,0.58645921114467492,0.0058053813715418442,0.0063952034614650211,6.6447376468667624e-05
540,0.36491914842901002,0.06566666666663494,0.59289708163138866,0.0058723465975170884,0.0064378704867137726,6.696522597524418e-05
540,0.36677152989312001,0.065999999999968709,0.59937779009060843,0.0059398329497884596,0.0064807084592198279,6.748635227137079e-05
540,0.36862391135722999,0.066333333333302477,0.60590150849242908,0.0060078437314430213,0.0065237184018206223,6.8010781654561262e-05
540,0.37047629282132999,0.066666666666634455,0.61246840983608031,0.006076382272099709,0.0065669013436512628,6.853854065668766e-05
540,0.37232867428543998,0.066999999999968238,0.61907866815660095,0.0061454519281518251,0.0066102583205206967,6.9069656052116304e-05
540,0.37418105574955002,0.06733333333330202,0.62573245853156445,0.0062150560830143342,0.0066537903749635348,6.9604154862509216e-05
540,0.37603343721365001,0.067666666666633998,0.63242995708847793,0.0062851981473824002,0.0066974985569134594,7.0142064368066412e-05
