x[nm]                Psi^2_1[nm^-1]       Psi^2_2[nm^-1]       Psi^2_3[nm^-1]       Psi^2_4[nm^-1]       Psi^2_5[nm^-1]       Psi^2_6[nm^-1]      
17                   0.00044774500153583  0.0027661564139773   0.0023876234389841   0.007711978763384    0.041448916595596    0.011393630609626
17.05                0.00037448427810436  0.002422597597032    0.0028859535142238   0.0066554082004406   0.039701561645333    0.014474463328379
17.1                 0.00031382352781158  0.0021368043704709   0.0034789782411522   0.0057487511131431   0.038260274991637    0.018020065815264
17.15                0.00026360309411082  0.0018999324143115   0.0041845716664932   0.0049707707592806   0.037105150498946    0.022072914788555
17.2                 0.00022203501876068  0.0017046513540717   0.005024000710967    0.0043032444078434   0.036220234321659    0.026681563836726
17.25                0.00018763938656678  0.0015449179108258   0.0060225661643736   0.0037305365057177   0.035593304559754    0.031901225095929
17.3                 0.00015919163713569  0.0014157888824517   0.007210365263406    0.0032392324441722   0.035215702457672    0.037794430697615
17.35                0.00013567896782323  0.0013132681684832   0.008623198836648    0.0028178243468022   0.035082212815082    0.044431781910538
17.4                 0.00011626427572571  0.001234183104508    0.010303650358539    0.0024564415191027   0.035190991957851    0.051892794951928
17.45                0.00010025635496969  0.001176086279088    0.012302369435505    0.0021466192459586   0.035543542274388    0.060266853600752
17.5                 8.7085288257876e-05  0.0011371797947707   0.014679598409134    0.0018811005215646   0.036144732965677    0.069654280025484
17.55                7.6260410181683e-05  0.001115992694601    0.017504075105367    0.0016531971030475   0.036994622115803    0.08015317427098
17.6                 6.7350412740226e-05  0.0011111121998455   0.020847628827719    0.0014565665718079   0.038078871937854    0.091828887669432
17.65                5.9997624567415e-05  0.0011213772260507   0.024784553251105    0.001285733118651    0.039374759215001    0.10471040473326
17.7                 5.3916292626705e-05  0.0011460308088267   0.029394800775192    0.0011362350469826   0.040858359497995    0.11880252429675
17.75                4.8877270923443e-05  0.0011846321993766   0.034763088676569    0.0010044330869824   0.042503396909454    0.13408023430589
17.8                 4.4696055930878e-05  0.0012369807017162   0.040977583864002    0.00088735937187261  0.044280235358468    0.15048294812884
17.85                4.122340431426e-05   0.0013030470854645   0.048128099478164    0.00078259836612849  0.046155028087084    0.1679088442084
17.9                 3.8337948510202e-05  0.0013829093155217   0.056303741237952    0.00068819290409968  0.048089053058363    0.18620961061945
17.95                3.5940362604809e-05  0.001476690104776    0.065589951050981    0.00060256992383865  0.050038270388112    0.20518595406723
18                   3.3948735415493e-05  0.0015844944744772   0.076064910998958    0.00052448156910965  0.05195314440552     0.22458428459311
18.05                3.2294887686229e-05  0.0017063461423882   0.087795293326266    0.00045295816277317  0.053778776458292    0.24409502737259
18.1                 3.0921431816159e-05  0.0018421221835076   0.10083137227638     0.00038727018940879  0.055455394626396    0.26335303537113
18.15                2.9779420019501e-05  0.0019914860442495   0.11520155201985     0.00032689691334416  0.056919242415133    0.28194057465687
18.2                 2.8826463597892e-05  0.00215381965093     0.13090641155854     0.00027149963957685  0.058103899640495    0.29939332114619
18.25                2.8025234584215e-05  0.002328156039764    0.14791242186028     0.00022089793143226  0.058942054593698    0.31520973719551
18.3                 2.7342283237829e-05  0.0025131146404635   0.16614555134057     0.00017504735660367  0.059367726884018    0.32886408354331
18.35                2.6747122096376e-05  0.0027068420501728   0.18548504106143     0.00013401756441201  0.059318915125966    0.33982316327923
