x[nm]                E_1[eV]              E_2[eV]              E_3[eV]              E_4[eV]              E_5[eV]              E_6[eV]              Psi_1[nm^-1/2]       Psi_2[nm^-1/2]       Psi_3[nm^-1/2]       Psi_4[nm^-1/2]       Psi_5[nm^-1/2]       Psi_6[nm^-1/2]      
10.1                 1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.7124651619256      0.96708241170992     1.4593068351251      0.87122915746137     0.96964118328178     1.1392088132918
10.15                1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.7209291346826      0.95885809412181     1.460140944016       0.87602294897072     0.9932975272659      1.1519657940878
10.2                 1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.7292846957432      0.95134584681985     1.4608804238222      0.88247976808445     1.0186637779021      1.16547180958
10.25                1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.7375285285127      0.94455745401938     1.4615239644706      0.89057725093074     1.045590601311       1.1796411077987
10.3                 1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.7456573607452      0.93850356444898     1.4620704258554      0.9002873510264      1.0739194763514      1.1943837254806
10.35                1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.7536679658422      0.93319367464616     1.4625188398576      0.9115764364189      1.1034836278515      1.2096060592603
10.4                 1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.7615571641335      0.92863611406047     1.4628684120604      0.92440540617409     1.1341090084325      1.2252114599739
10.45                1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.769321824139       0.92483803198734     1.4631185231567      0.93872982580647     1.1656153231443      1.2411008463012
10.5                 1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.7769588638121      0.92180538635323     1.463268730046       0.95450008118263     1.1978170908818      1.2571733338492
10.55                1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.7844652517628      0.91954293436965     1.4633187666196      0.97166155036508     1.2305247363324      1.2733268756846
10.6                 1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.791838008461       0.91805422507061     1.4632685442321      0.99015479280104     1.2635457060259      1.2894589102466
10.65                1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.7990742074194      0.91734159374546     1.463118151858       1.009915755201       1.2966856019184      1.3054670125277
10.7                 1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.8061709763545      0.91740615827551     1.4628678559348      1.0308759933943      1.3297493258346      1.3212495443876
10.75                1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.8131254983276      0.91824781738052     1.4625180998903      1.0529629093921      1.3625422280318      1.3367062998703
10.8                 1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.8199350128621      0.91986525077752     1.4620695033574      1.0761000028388      1.3948712531242      1.3517391414291
10.85                1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.8265968170398      0.92225592125192     1.4615228610762      1.1002071359787      1.4265460766212      1.3662526230184
10.9                 1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.8331082665734      0.92541607863755     1.4608791414861      1.1252008112218      1.457380225388       1.3801545960964
10.95                1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.8394667768563      0.92934076569944     1.46013948501        1.1509944603461      1.4871921754337      1.393356794692
11                   1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.8456698239886      0.93402382591003     1.4593052020341      1.177498744336       1.5158064205623      1.4057753958204
11.05                1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.8517149457786      0.93945791310676     1.4583777705863      1.2046218628175      1.5430545055974      1.4173315516891
11.1                 1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.8575997427205      0.94563450301571     1.4573588337174      1.232269872018       1.5687760180954      1.4279518903161
11.15                1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.8633218789465      0.95254390662338     1.4562501965908      1.260347010151       1.5928195327118      1.4375689813806
11.2                 1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.8688790831542      0.96017528537552     1.4550538232841      1.2887560290967      1.6150435026582      1.4461217643501
11.25                1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.8742691495081      0.96851666817921     1.4537718333097      1.3173985312311      1.6353170930037      1.4535559361634
11.3                 1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.8794899385152      0.9775549701815      1.4524064978595      1.3461753102368      1.6535209509146      1.4598242960101
