pathway,amplitude_scale,Feature,feature_type,paper_wavelength_nm,model_wavelength_nm,peak_shift_nm,model_normalized_amplitude,normalized_amplitude_change,normalized_amplitude_at_paper_nm,node_depth_change_at_paper_nm,local_normalized_RMSE,note
C_m2_n2_l2,1.0,P1,peak,540.0,575.0,0.0,0.027656132817681464,0.0,0.018684634024775947,0.0,0.18233322581211692,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
C_m2_n2_l2,1.0,Z1,minimum,605.0,550.0,0.0,0.020805620815258052,0.0,0.04064783904527008,0.0,0.04803291770578306,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
C_m2_n2_l2,1.0,P2,peak,760.0,752.0,0.0,0.5298169782402152,0.0,0.3198138514659219,0.0,0.19391486600926822,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
C_m2_n2_l2,1.0,P3,peak,1080.0,1160.0,0.0,0.11160854018108704,0.0,0.09087130652715138,0.0,0.535268929323567,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
C_m2_n2_l2,1.0,Z2,minimum,1330.0,1250.0,0.0,0.16325487004214342,0.0,0.3096029997040068,0.0,0.3645474142729788,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
C_m2_n2_l2,1.0,P4,peak,1520.0,1503.0,0.0,1.0,0.0,0.562512092244754,0.0,0.30120735313987446,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
C_m2_n2_l2,1.05,P1,peak,540.0,575.0,0.0,0.027756279074548616,0.00010014625686715142,0.018759458929163007,7.482490438705941e-05,0.18226772391690257,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
C_m2_n2_l2,1.05,Z1,minimum,605.0,550.0,0.0,0.02088689998042055,8.127916516249833e-05,0.04077674436662885,0.00012890532135877153,0.04801256515240243,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
C_m2_n2_l2,1.05,P2,peak,760.0,752.0,0.0,0.5290935589978515,-0.0007234192423637431,0.31866500275596854,-0.001148848709953354,0.19425835660181304,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
C_m2_n2_l2,1.05,P3,peak,1080.0,1160.0,0.0,0.11225729873252226,0.0006487585514352162,0.09147242184134532,0.0006011153141939479,0.534678436028077,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
C_m2_n2_l2,1.05,Z2,minimum,1330.0,1250.0,0.0,0.1640309292767107,0.0007760592345672779,0.3105688573667206,0.0009658576627137871,0.3653241781600625,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
C_m2_n2_l2,1.05,P4,peak,1520.0,1503.0,0.0,1.0,0.0,0.561550040728241,-0.0009620515165129628,0.30172644679724897,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
C_m2_n2_l2,1.1,P1,peak,540.0,575.0,0.0,0.02783288979987706,0.00017675698219559582,0.01881673028860828,0.00013209626383233267,0.18221759611031488,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
C_m2_n2_l2,1.1,Z1,minimum,605.0,550.0,0.0,0.02094910344001679,0.00014348262475873813,0.04087527589314367,0.00022743684787359525,0.04799723483569784,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
