wavelength_nm,pathway,real,imag,magnitude
612.0,C_m1_n1_l1,32.43032970795961,0.44968863647236834,32.43344731657028
613.0,C_m1_n1_l1,32.77410764847638,0.4577802249776361,32.777304570209836
614.0,C_m1_n1_l1,33.12273890479523,0.4660529511978888,33.126017537708265
615.0,C_m1_n1_l1,33.476319995566314,0.4745119498132667,33.47968282460377
616.0,C_m1_n1_l1,33.83495003170263,0.4831625367534689,33.8383996324403
617.0,C_m1_n1_l1,34.198730805460784,0.49201021696206554,34.20226984803739
618.0,C_m1_n1_l1,34.56776688328274,0.5010606925550735,34.57139813653192
619.0,C_m1_n1_l1,34.94216570258887,0.5103198713970806,34.94589203838301
620.0,C_m1_n1_l1,35.32203767272169,0.5197938761197468,35.325862070540076
621.0,C_m1_n1_l1,35.70749628025378,0.5294890536092541,35.71142183198857
622.0,C_m1_n1_l1,36.09865819888454,0.5394119849910416,36.10268811389875
623.0,C_m1_n1_l1,36.49564340416458,0.549569496142177,36.4997810146175
624.0,C_m1_n1_l1,36.89857529330092,0.5599686687637945,36.902824059757194
625.0,C_m1_n1_l1,37.30758081031198,0.5706168520483491,37.31194432765198
626.0,C_m1_n1_l1,37.72279057681727,0.5815216749788747,37.72727258046736
627.0,C_m1_n1_l1,38.14433902876527,0.5926910593001163,38.14894340126814
628.0,C_m1_n1_l1,38.572364559421466,0.6041332332042938,38.577095337367936
629.0,C_m1_n1_l1,39.0070096689589,0.6158567457773415,39.01187105030432
630.0,C_m1_n1_l1,39.44842112101617,0.6278704822548852,39.453417472806095
631.0,C_m1_n1_l1,39.89675010661045,0.6401836801408367,39.901885973142164
632.0,C_m1_n1_l1,40.352152415818985,0.6528059462454703,40.357432527267385
633.0,C_m1_n1_l1,40.81478861766919,0.6657472747041248,40.82021789920767
634.0,C_m1_n1_l1,41.2848242487073,0.6790180660423681,41.29040783015666
635.0,C_m1_n1_l1,41.762430010746094,0.6926291473584939,41.76817323678684
636.0,C_m1_n1_l1,42.247781978327055,0.7065917936997679,42.253690419313436
637.0,C_m1_n1_l1,42.74106181646734,0.7209177507147928,42.747141279884175
638.0,C_m1_n1_l1,43.24245700930343,0.7356192586709499,43.24871355191022
