state,shift_meV,Feature,feature_type,paper_wavelength_nm,model_wavelength_nm,model_normalized_amplitude,normalized_amplitude_at_paper_nm,local_normalized_RMSE,global_normalized_RMSE,note
hh1,10.0,Z2,minimum,1330.0,1250.0,0.16269994900646487,0.3086992322074359,0.36341452843370037,0.26223976438530444,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
hh1,10.0,P4,peak,1520.0,1503.0,1.0,0.5636144994281401,0.30156663505212855,0.26223976438530444,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
hh2,-10.0,P1,peak,540.0,575.0,0.028517640383347385,0.01913867356620473,0.1819299905256721,0.2728347344119669,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
hh2,-10.0,Z1,minimum,605.0,550.0,0.021345647746848724,0.04230363326199025,0.04795818925637365,0.2728347344119669,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
hh2,-10.0,P2,peak,760.0,747.0,0.5316363396327732,0.26555218024007027,0.2138250750687004,0.2728347344119669,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
hh2,-10.0,P3,peak,1080.0,1160.0,0.11300374082446625,0.09111669814469657,0.535022125550304,0.2728347344119669,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
hh2,-10.0,Z2,minimum,1330.0,1250.0,0.16849785219392374,0.33899298302479397,0.4320166358966346,0.2728347344119669,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
hh2,-10.0,P4,peak,1520.0,1494.0,1.0,0.45346692422099094,0.36483689829083893,0.2728347344119669,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
hh2,-5.0,P1,peak,540.0,575.0,0.028123113824553053,0.018937547597665125,0.18210886988881592,0.2678297674612048,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
hh2,-5.0,Z1,minimum,605.0,550.0,0.021104128999176124,0.04152307566448582,0.04797088626250484,0.2678297674612048,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
hh2,-5.0,P2,peak,760.0,749.0,0.5309661326568508,0.28960527744721515,0.203674932431273,0.2678297674612048,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
hh2,-5.0,P3,peak,1080.0,1160.0,0.11245739322407027,0.0911212416611997,0.535020834337552,0.2678297674612048,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
hh2,-5.0,Z2,minimum,1330.0,1250.0,0.16605667239212848,0.32391770934409975,0.40184352165902376,0.2678297674612048,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
hh2,-5.0,P4,peak,1520.0,1498.0,1.0,0.5016857301241143,0.33569460090957765,0.2678297674612048,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
hh2,0.0,P1,peak,540.0,575.0,0.027656132817681464,0.018684634024775947,0.18233322581211692,0.2623911178693676,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
hh2,0.0,Z1,minimum,605.0,550.0,0.020805620815258052,0.04064783904527008,0.04803291770578306,0.2623911178693676,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
hh2,0.0,P2,peak,760.0,752.0,0.5298169782402152,0.3198138514659219,0.19391486600926822,0.2623911178693676,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
hh2,0.0,P3,peak,1080.0,1160.0,0.11160854018108704,0.09087130652715138,0.535268929323567,0.2623911178693676,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
hh2,0.0,Z2,minimum,1330.0,1250.0,0.16325487004214342,0.3096029997040068,0.3645474142729788,0.2623911178693676,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
hh2,0.0,P4,peak,1520.0,1503.0,1.0,0.562512092244754,0.30120735313987446,0.2623911178693676,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
hh2,5.0,P1,peak,540.0,575.0,0.027258055074188617,0.018475342907244875,0.18251932298901918,0.2570242390114066,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
hh2,5.0,Z1,minimum,605.0,550.0,0.020556396997467127,0.03988558673149469,0.04811711265732943,0.2570242390114066,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
hh2,5.0,P2,peak,760.0,754.0,0.5321992832888641,0.3620158637057184,0.18374804596709146,0.2570242390114066,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
hh2,5.0,P3,peak,1080.0,1160.0,0.11102438039234742,0.09082765037843092,0.5353142581928403,0.2570242390114066,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
hh2,5.0,Z2,minimum,1330.0,1250.0,0.16092119541447497,0.2973836831854013,0.3279106007458399,0.2570242390114066,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
hh2,5.0,P4,peak,1520.0,1508.0,1.0,0.6473424512583283,0.26130483953009565,0.2570242390114066,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
hh2,10.0,P1,peak,540.0,575.0,0.026816220331653047,0.0182335955857253,0.182733972628113,0.2516093377216745,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
hh2,10.0,Z1,minimum,605.0,550.0,0.020271741417499198,0.03907027892540857,0.04824159771789333,0.2516093377216745,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
hh2,10.0,P2,peak,760.0,756.0,0.5315117949881537,0.42285063506191617,0.17421924267164396,0.2516093377216745,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
hh2,10.0,P3,peak,1080.0,1160.0,0.11024906264145003,0.09061894239672035,0.5355212346455793,0.2516093377216745,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
hh2,10.0,Z2,minimum,1330.0,1250.0,0.1583851616548996,0.2857911082319508,0.298803073402235,0.2516093377216745,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
hh2,10.0,P4,peak,1520.0,1512.0,1.0,0.7702024662644105,0.2168481819319235,0.2516093377216745,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
