requested_index,k_per_nm,kx_per_nm,ky_per_nm,kz_per_nm
697,0.64555494024147941,0,0.64555494024147941,0
698,0.64648113097353321,0,0.64648113097353321,0
699,0.6474073217055869,0,0.6474073217055869,0
700,0.6483335124376407,0,0.6483335124376407,0
701,0.6492597031696945,0,0.6492597031696945,0
702,0.6501858939017483,0,0.6501858939017483,0
703,0.65111208463380199,0,0.65111208463380199,0
704,0.65203827536585579,0,0.65203827536585579,0
705,0.65296446609790959,0,0.65296446609790959,0
706,0.65389065682996339,0,0.65389065682996339,0
707,0.65481684756201708,0,0.65481684756201708,0
708,0.65574303829407088,0,0.65574303829407088,0
709,0.65666922902612468,0,0.65666922902612468,0
710,0.65759541975817848,0,0.65759541975817848,0
711,0.65852161049023217,0,0.65852161049023217,0
712,0.65944780122228597,0,0.65944780122228597,0
713,0.66037399195433977,0,0.66037399195433977,0
714,0.66130018268639357,0,0.66130018268639357,0
715,0.66222637341844726,0,0.66222637341844726,0
716,0.66315256415050106,0,0.66315256415050106,0
717,0.66407875488255486,0,0.66407875488255486,0
718,0.66500494561460866,0,0.66500494561460866,0
719,0.66593113634666234,0,0.66593113634666234,0
720,0.66685732707871614,0,0.66685732707871614,0
721,0.66778351781076994,0,0.66778351781076994,0
722,0.66870970854282374,0,0.66870970854282374,0
723,0.66963589927487743,0,0.66963589927487743,0
724,0.67056209000693123,0,0.67056209000693123,0
725,0.67148828073898503,0,0.67148828073898503,0
726,0.67241447147103883,0,0.67241447147103883,0
727,0.67334066220309252,0,0.67334066220309252,0
728,0.67426685293514632,0,0.67426685293514632,0
729,0.67519304366720012,0,0.67519304366720012,0
730,0.67611923439925392,0,0.67611923439925392,0
731,0.67704542513130761,0,0.67704542513130761,0
732,0.67797161586336141,0,0.67797161586336141,0
733,0.67889780659541521,0,0.67889780659541521,0
734,0.67982399732746901,0,0.67982399732746901,0
735,0.6807501880595227,0,0.6807501880595227,0
736,0.6816763787915765,0,0.6816763787915765,0
737,0.6826025695236303,0,0.6826025695236303,0
738,0.6835287602556841,0,0.6835287602556841,0
739,0.68445495098773779,0,0.68445495098773779,0
740,0.68538114171979159,0,0.68538114171979159,0
741,0.68630733245184539,0,0.68630733245184539,0
742,0.68723352318389919,0,0.68723352318389919,0
743,0.68815971391595288,0,0.68815971391595288,0
744,0.68908590464800668,0,0.68908590464800668,0
745,0.69001209538006048,0,0.69001209538006048,0
746,0.69093828611211427,0,0.69093828611211427,0
747,0.69186447684416796,0,0.69186447684416796,0
748,0.69279066757622176,0,0.69279066757622176,0
749,0.69371685830827556,0,0.69371685830827556,0
750,0.69464304904032936,0,0.69464304904032936,0
751,0.69556923977238305,0,0.69556923977238305,0
752,0.69649543050443685,0,0.69649543050443685,0
753,0.69742162123649065,0,0.69742162123649065,0
754,0.69834781196854445,0,0.69834781196854445,0
755,0.69927400270059814,0,0.69927400270059814,0
756,0.70020019343265194,0,0.70020019343265194,0
757,0.70112638416470574,0,0.70112638416470574,0
758,0.70205257489675954,0,0.70205257489675954,0
759,0.70297876562881323,0,0.70297876562881323,0
760,0.70390495636086703,0,0.70390495636086703,0
761,0.70483114709292083,0,0.70483114709292083,0
762,0.70575733782497463,0,0.70575733782497463,0
763,0.70668352855702832,0,0.70668352855702832,0
764,0.70760971928908212,0,0.70760971928908212,0
765,0.70853591002113592,0,0.70853591002113592,0
766,0.70946210075318972,0,0.70946210075318972,0
