wavelength_nm,photon_energy_eV,chi2_raw_real_pm_per_V,chi2_raw_imag_pm_per_V,chi2_raw_abs_pm_per_V,chi2_scaled_real_pm_per_V,chi2_scaled_imag_pm_per_V,chi2_scaled_abs_pm_per_V
1.586000000000000000e+03,7.817414779319040719e-01,1.709618101495448172e+01,1.192143615944212032e+00,1.713769563556099840e+01,6.749301735480603384e+02,4.706394351461430148e+01,6.765691050770509491e+02
1.587000000000000000e+03,7.812488872085695535e-01,1.695010239228282245e+01,1.203331531431039991e+00,1.699276251477104438e+01,6.691632206791592807e+02,4.750562471432556322e+01,6.708473748098023179e+02
1.588000000000000000e+03,7.807569168765742251e-01,1.680593408224617136e+01,1.214006540800986578e+00,1.684972499057213113e+01,6.634716839302179778e+02,4.792705719216274929e+01,6.652004796963843773e+02
1.589000000000000000e+03,7.802655657646317966e-01,1.666389378991622294e+01,1.224296575582004776e+00,1.670880780745862282e+01,6.578641579529710270e+02,4.833329148241114126e+01,6.596372922937994190e+02
1.590000000000000000e+03,7.797748327044025096e-01,1.652367852600738374e+01,1.234389065886030146e+00,1.656972143389310403e+01,6.523286812098727978e+02,4.873172702930137490e+01,6.541463823551041514e+02
1.591000000000000000e+03,7.792847165304839230e-01,1.638518104272868925e+01,1.244021638111981964e+00,1.643233847141320325e+01,6.468610197278438818e+02,4.911200573824163484e+01,6.487227203905988517e+02
1.592000000000000000e+03,7.787952160804019197e-01,1.624856583209852445e+01,1.253293998955014477e+00,1.629682906113506036e+01,6.414676673914790399e+02,4.947806387178116694e+01,6.433730233023180745e+02
1.593000000000000000e+03,7.783063301946012702e-01,1.611357997398400244e+01,1.262353252025038230e+00,1.616295131808780994e+01,6.361386393141515327e+02,4.983570884766312048e+01,6.380877418543700514e+02
1.594000000000000000e+03,7.778180577164365284e-01,1.598013331403244486e+01,1.270983497817319563e+00,1.603059761162925412e+01,6.308703763446770836e+02,5.017641729507906234e+01,6.328626269593144116e+02
1.595000000000000000e+03,7.773303974921629278e-01,1.584834679120735146e+01,1.279278281495571656e+00,1.589989462027590150e+01,6.256676529619619487e+02,5.050388222906689606e+01,6.277026796845282206e+02
1.596000000000000000e+03,7.768433483709272780e-01,1.571798787665467145e+01,1.287335852521931390e+00,1.577061750496319625e+01,6.205212892948004537e+02,5.082198238292229320e+01,6.225990237395265012e+02
1.597000000000000000e+03,7.763569092047588605e-01,1.558900591528370860e+01,1.294975596409743357e+00,1.564270012568313639e+01,6.154292855603686121e+02,5.112358738251569434e+01,6.175490480214534728e+02
1.598000000000000000e+03,7.758710788485606580e-01,1.546146583350192572e+01,1.302300559101686517e+00,1.551621450182949680e+01,6.103942049504934175e+02,5.141276531860454924e+01,6.125555957420117466e+02
1.599000000000000000e+03,7.753858561601000288e-01,1.533515562088129158e+01,1.309347142393284091e+00,1.539095149287205544e+01,6.054076776289607551e+02,5.169095327647412574e+01,6.076104103640113863e+02
1.600000000000000000e+03,7.749012399999999356e-01,1.521006177019177485e+01,1.315976970135918300e+00,1.526688489636892143e+01,6.004691703517030419e+02,5.195268838474279249e+01,6.027124574565095827e+02
1.601000000000000000e+03,7.744172292317300643e-01,1.508618872672346001e+01,1.322293594694808228e+00,1.514402689673023872e+01,5.955788586117380419e+02,5.220205872692859117e+01,5.978622180407375026e+02
1.602000000000000000e+03,7.739338227215979416e-01,1.496335034747403192e+01,1.328272923405669381e+00,1.502218900760817455e+01,5.907293937778865711e+02,5.243811316276968881e+01,5.930522509739431598e+02
1.603000000000000000e+03,7.734510193387398314e-01,1.484155931398979789e+01,1.333823775041681259e+00,1.490137472629769633e+01,5.859212764975296750e+02,5.265725200171599596e+01,5.882826943237977275e+02
1.604000000000000000e+03,7.729688179551121863e-01,1.472075490719633706e+01,1.339031009650537341e+00,1.478152999802627754e+01,5.811521096776908735e+02,5.286282538416828913e+01,5.835514140934179750e+02
1.605000000000000000e+03,7.724872174454827656e-01,1.460079184900555660e+01,1.343818658647860209e+00,1.466250221501491424e+01,5.764161579693394515e+02,5.305183419062768024e+01,5.788523855691746576e+02
1.606000000000000000e+03,7.720062166874220866e-01,1.448168049180131511e+01,1.348144101570213360e+00,1.454429655862452897e+01,5.717138300682087220e+02,5.322259583264015248e+01,5.741858133029979854e+02
1.607000000000000000e+03,7.715258145612943208e-01,1.436330512242032853e+01,1.352042500414966320e+00,1.442679981709992454e+01,5.670405578017158632e+02,5.337649845022163930e+01,5.695472278739381409e+02
1.608000000000000000e+03,7.710460099502487452e-01,1.424556851910302591e+01,1.355408091254613145e+00,1.430990403623649776e+01,5.623925030086369361e+02,5.350936665087461819e+01,5.649323674208244483e+02
1.609000000000000000e+03,7.705668017402113046e-01,1.412844274271689216e+01,1.358226085347268075e+00,1.419357856332036505e+01,5.577685626962305605e+02,5.362061659847107364e+01,5.603400218230169685e+02
1.610000000000000000e+03,7.700881888198757297e-01,1.401178486298506698e+01,1.360453560417363983e+00,1.407767555161823481e+01,5.531630942033386873e+02,5.370855378949161008e+01,5.557643543254375800e+02
1.611000000000000000e+03,7.696101700806952106e-01,1.389553057552940984e+01,1.361977158204198179e+00,1.396211845512501881e+01,5.485735588948672330e+02,5.376870301918132355e+01,5.512023430129313510e+02
1.612000000000000000e+03,7.691327444168734040e-01,1.377958963238849499e+01,1.362755869461881986e+00,1.384681169066660189e+01,5.439963939241071103e+02,5.379944530740537800e+01,5.466502144130347460e+02
1.613000000000000000e+03,7.686559107253564394e-01,1.366382793711864352e+01,1.362655260954193759e+00,1.373160672519388825e+01,5.394263053756554882e+02,5.379547344272432241e+01,5.421021046760072295e+02
1.614000000000000000e+03,7.681796679058240374e-01,1.354817500950014342e+01,1.361541110961655532e+00,1.361641804164674063e+01,5.348605108019659156e+02,5.375148856404499043e+01,5.375546377236369153e+02
1.615000000000000000e+03,7.677040148606810721e-01,1.343249488182433815e+01,1.359263536076934065e+00,1.350109314502886448e+01,5.302936424130550677e+02,5.366157351162075884e+01,5.330017932947769168e+02
1.616000000000000000e+03,7.672289504950494665e-01,1.331668597902475426e+01,1.355579723184998864e+00,1.338550416868430126e+01,5.257216901860307416e+02,5.351614240789663057e+01,5.284385234161861717e+02
1.617000000000000000e+03,7.667544737167594215e-01,1.320065572217312244e+01,1.350239291736244684e+00,1.326953117635624757e+01,5.211409992513010820e+02,5.330531062497527017e+01,5.238600931942322632e+02
1.618000000000000000e+03,7.662805834363410895e-01,1.308430592581345486e+01,1.342878631558684699e+00,1.315303708575985198e+01,5.165476934024321736e+02,5.301472340864179245e+01,5.192610908372279255e+02
1.619000000000000000e+03,7.658072785670165805e-01,1.296762062719403197e+01,1.333049863443452887e+00,1.303595821829967250e+01,5.119411424552454832e+02,5.262669919645227878e+01,5.146390024149898181e+02
1.620000000000000000e+03,7.653345580246913027e-01,1.285063582139580696e+01,1.320191370239115480e+00,1.291827179882026222e+01,5.073227674385785235e+02,5.211906623196864530e+01,5.099929288004200885e+02
1.621000000000000000e+03,7.648624207279456355e-01,1.273356444836318957e+01,1.303582098689233471e+00,1.280011679042976169e+01,5.027009748844812407e+02,5.146335847361823568e+01,5.053283560371334602e+02
1.622000000000000000e+03,7.643908655980270472e-01,1.261687590195416675e+01,1.282393348175342673e+00,1.268188038994044931e+01,4.980942957197005398e+02,5.062686013231632387e+01,5.006605700425803889e+02
