z_nm,x_al,in_grade_window
20.100000,0.0000000000,False
20.150000,0.0000000000,False
20.200000,0.0000000000,False
20.250000,0.0000000000,False
20.300000,0.0000000000,False
20.350000,0.0000000000,False
20.400000,0.0000000000,True
20.450000,0.0275000000,True
20.500000,0.0550000000,True
20.550000,0.0825000000,True
20.600000,0.1100000000,True
20.650000,0.1375000000,True
20.700000,0.1650000000,True
20.750000,0.1925000000,True
20.800000,0.2200000000,True
20.850000,0.2475000000,True
20.900000,0.2750000000,True
20.950000,0.3025000000,True
21.000000,0.3300000000,True
21.050000,0.3575000000,True
21.100000,0.3850000000,True
21.150000,0.4125000000,True
21.200000,0.4400000000,True
21.250000,0.4675000000,True
21.300000,0.4950000000,True
21.350000,0.5225000000,True
21.400000,0.5500000000,True
21.450000,0.5500000000,False
21.500000,0.5500000000,False
21.550000,0.5500000000,False
21.600000,0.5500000000,False
21.650000,0.5500000000,False
21.700000,0.5500000000,False
21.750000,0.5500000000,False
21.800000,0.5500000000,False
21.850000,0.5500000000,False
21.900000,0.5500000000,False
21.950000,0.5500000000,False
22.000000,0.5500000000,False
22.050000,0.5500000000,False
22.100000,0.5500000000,False
22.150000,0.5500000000,False
22.200000,0.5500000000,False
22.250000,0.5500000000,False
22.300000,0.5500000000,False
22.350000,0.5500000000,False
22.400000,0.5500000000,False
22.450000,0.5500000000,False
22.500000,0.5500000000,False
22.550000,0.5500000000,False
22.600000,0.5500000000,False
22.650000,0.5500000000,False
22.700000,0.5500000000,False
22.750000,0.5500000000,False
22.800000,0.5500000000,False
22.850000,0.5500000000,False
22.900000,0.5500000000,False
22.950000,0.5500000000,False
23.000000,0.5500000000,False
23.050000,0.5500000000,False
23.100000,0.5500000000,False
23.150000,0.5500000000,False
23.200000,0.5500000000,False
23.250000,0.5500000000,False
23.300000,0.5500000000,False
23.350000,0.5500000000,False
23.400000,0.5500000000,False
23.450000,0.5500000000,False
23.500000,0.5500000000,False
23.550000,0.5500000000,False
23.600000,0.5500000000,False
23.650000,0.5500000000,False
23.700000,0.5500000000,False
23.750000,0.5500000000,False
23.800000,0.5500000000,False
23.850000,0.5500000000,False
23.900000,0.5500000000,False
23.950000,0.5500000000,False
24.000000,0.5500000000,False
24.050000,0.5500000000,False
24.100000,0.5500000000,False
24.150000,0.5500000000,False
24.200000,0.5500000000,False
24.250000,0.5500000000,False
24.300000,0.5500000000,False
24.350000,0.5500000000,False
24.400000,0.5500000000,False
24.450000,0.5500000000,False
24.500000,0.5500000000,False
24.550000,0.5500000000,False
24.600000,0.5500000000,False
24.650000,0.5500000000,False
24.700000,0.5500000000,False
24.750000,0.5500000000,False
24.800000,0.5500000000,False
24.850000,0.5500000000,False
24.900000,0.5500000000,False
24.950000,0.5500000000,False
25.000000,0.5500000000,False
25.050000,0.5500000000,False
25.100000,0.5500000000,False
25.150000,0.5500000000,False
25.200000,0.5500000000,False
25.250000,0.5500000000,False
25.300000,0.5500000000,False
25.350000,0.5500000000,False
25.400000,0.5500000000,False
25.450000,0.5500000000,False
25.500000,0.5500000000,False
25.550000,0.5500000000,False
25.600000,0.5500000000,False
25.650000,0.5500000000,False
25.700000,0.5500000000,False
25.750000,0.5500000000,False
25.800000,0.5500000000,False
25.850000,0.5500000000,False
25.900000,0.5500000000,False
25.950000,0.5500000000,False
26.000000,0.5500000000,False
26.050000,0.5500000000,False
26.100000,0.5500000000,False
26.150000,0.5500000000,False
26.200000,0.5500000000,False
