model,wavelength_nm,k_per_nm,F_real,F_imag,cumulative_real_pm_per_V,cumulative_imag_pm_per_V,cumulative_magnitude_pm_per_V
demo21,600.0,0.4913685567948435,1.9951589621415744,0.055255166412194356,2.799735828320212,0.05655263527918505,2.8003069312018076
demo21,600.0,0.4972181824709726,2.0547597851905044,0.05834014441675174,2.9054142095726085,0.059517003940434764,2.9060237443875905
demo21,600.0,0.5030678081471016,2.1184964566360556,0.06172942007643703,3.015599918306078,0.06268741848132332,3.016251411889181
demo21,600.0,0.5089174338232307,2.186797058996012,0.06546483403564105,3.1306015526766804,0.066085256212002,3.131298986476738
demo21,600.0,0.5147670594993599,2.2601509157027913,0.06959573991608209,3.2507605656613436,0.06973496200970383,3.2515084530391976
demo21,600.0,0.520616685175489,2.3391199181668423,0.07418068965788993,3.3764560564702824,0.07366461787984123,3.3772595365476774
demo21,600.0,0.526466310851618,2.4243524598887003,0.0792895780385984,3.5081104670544816,0.07790664422868376,3.5089754194454237
demo21,600.0,0.5323159365277471,2.516600704704672,0.08500639532082332,3.6461963966434263,0.08249866979123702,3.647129582755846
demo21,600.0,0.5381655622038762,2.6167421573499263,0.09143279367510165,3.791244808023544,0.08748461949209263,3.792254046475942
demo21,600.0,0.5440151878800052,2.7258068393509216,0.09869275476698955,3.9438549806950127,0.09291608668503505,3.944949366965021
demo21,600.0,0.5498648135561344,2.8450118440847607,0.10693876542337824,4.104706676362726,0.09885408041969641,4.105896860393885
demo21,600.0,0.5557144392322635,2.975805715865106,0.11636008574569795,4.274575133485276,0.10537127297575628,4.27587367411377
demo21,1330.0,0.0,-5.701827136650957,-0.09468708334228915,0.0,0.0,0.0
demo21,1330.0,0.005849625676129089,-5.702415465097086,-0.09471780962389875,-0.0017607762523181322,-2.9246706220924457e-05,0.0017610191312283521
demo21,1330.0,0.011699251352258178,-5.704181595226332,-0.09481006595515618,-0.007044195690935104,-0.00011704379819902302,0.007045168002459952
demo21,1330.0,0.01754887702838727,-5.7071289662183755,-0.09496408524709146,-0.01585353390014552,-0.00026356243555921143,0.015855724590207197
demo21,1330.0,0.023398502704516357,-5.711263326102381,-0.09518025719512482,-0.028194262005625782,-0.0004690886852312804,0.02819816402244099
demo21,1330.0,0.029248128380645444,-5.716592755989248,-0.09545913056063768,-0.04407406447533291,-0.0007340247296623475,0.04408017640254583
