solver_case_id,case_id,quantity,row_band,row_state,column_band,column_state,value,absolute_value,unit,source
Solve_00,Solve_00,z,heavy_hole,6,heavy_hole,3,-0.6170720541569742,0.6170720541569742,nm,python_trapezoidal_envelope_integral
Solve_00,Solve_00,z,heavy_hole,6,heavy_hole,4,0.6787094125983595,0.6787094125983595,nm,python_trapezoidal_envelope_integral
Solve_00,Solve_00,z,heavy_hole,6,heavy_hole,5,-3.0246705534853966,3.0246705534853966,nm,python_trapezoidal_envelope_integral
Solve_00,Solve_00,z,heavy_hole,6,heavy_hole,6,68.50278199558929,68.50278199558929,nm,python_trapezoidal_envelope_integral
Solve_01,Solve_01,overlap,electron,1,heavy_hole,1,0.9814932965522505,0.9814932965522505,dimensionless,python_trapezoidal_envelope_integral
Solve_01,Solve_01,overlap,electron,1,heavy_hole,2,0.05527205083050375,0.05527205083050375,dimensionless,python_trapezoidal_envelope_integral
Solve_01,Solve_01,overlap,electron,1,heavy_hole,3,0.054588199464318546,0.054588199464318546,dimensionless,python_trapezoidal_envelope_integral
Solve_01,Solve_01,overlap,electron,1,heavy_hole,4,0.130785141642235,0.130785141642235,dimensionless,python_trapezoidal_envelope_integral
Solve_01,Solve_01,overlap,electron,1,heavy_hole,5,0.01616259023552466,0.01616259023552466,dimensionless,python_trapezoidal_envelope_integral
Solve_01,Solve_01,overlap,electron,1,heavy_hole,6,0.01959045588267075,0.01959045588267075,dimensionless,python_trapezoidal_envelope_integral
Solve_01,Solve_01,overlap,electron,2,heavy_hole,1,-0.07974167010468358,0.07974167010468358,dimensionless,python_trapezoidal_envelope_integral
Solve_01,Solve_01,overlap,electron,2,heavy_hole,2,0.9306111353376917,0.9306111353376917,dimensionless,python_trapezoidal_envelope_integral
Solve_01,Solve_01,overlap,electron,2,heavy_hole,3,0.22786071902492175,0.22786071902492175,dimensionless,python_trapezoidal_envelope_integral
Solve_01,Solve_01,overlap,electron,2,heavy_hole,4,0.030673801745483405,0.030673801745483405,dimensionless,python_trapezoidal_envelope_integral
Solve_01,Solve_01,overlap,electron,2,heavy_hole,5,0.07663534554840787,0.07663534554840787,dimensionless,python_trapezoidal_envelope_integral
Solve_01,Solve_01,overlap,electron,2,heavy_hole,6,-0.06325221775993506,0.06325221775993506,dimensionless,python_trapezoidal_envelope_integral
Solve_01,Solve_01,overlap,electron,3,heavy_hole,1,0.05149180570967857,0.05149180570967857,dimensionless,python_trapezoidal_envelope_integral
Solve_01,Solve_01,overlap,electron,3,heavy_hole,2,0.21367964158982727,0.21367964158982727,dimensionless,python_trapezoidal_envelope_integral
Solve_01,Solve_01,overlap,electron,3,heavy_hole,3,-0.9306785480280949,0.9306785480280949,dimensionless,python_trapezoidal_envelope_integral
